timestamp,joint_5,spherical_wrist_1_link.x,spherical_wrist_1_link.y,spherical_wrist_1_link.z,spherical_wrist_1_link.x_hat,spherical_wrist_1_link.y_hat,spherical_wrist_1_link.z_hat
64.319,0.65689,0.00342,0.07727,0.2549,-0.27327,-0.17401,-0.94607
64.37,0.65559,0.00337,0.07714,0.25494,-0.27327,-0.17401,-0.94607
64.421,0.65207,0.00325,0.07686,0.25503,-0.27327,-0.17401,-0.94607
64.472,0.64644,0.00308,0.07647,0.25515,-0.27327,-0.17401,-0.94607
64.523,0.64016,0.00291,0.07605,0.25528,-0.27327,-0.17401,-0.94607
64.574,0.63393,0.00274,0.07563,0.2554,-0.27327,-0.17401,-0.94607
64.625,0.6277,0.00257,0.07522,0.25552,-0.27327,-0.17401,-0.94607
64.676,0.62147,0.00241,0.07481,0.25565,-0.27327,-0.17401,-0.94607
64.727,0.61524,0.00225,0.07439,0.25577,-0.27327,-0.17401,-0.94607
64.778,0.609,0.00209,0.07397,0.25589,-0.27327,-0.17401,-0.94607
64.829,0.60277,0.00193,0.07355,0.25602,-0.27327,-0.17401,-0.94607
64.88,0.59654,0.00178,0.07313,0.25614,-0.27327,-0.17401,-0.94607
64.931,0.59031,0.00163,0.07271,0.25626,-0.27326,-0.17401,-0.94607
64.982,0.58408,0.00148,0.07229,0.25638,-0.27326,-0.17401,-0.94607
65.033,0.57785,0.00134,0.07187,0.2565,-0.27326,-0.17401,-0.94607
65.084,0.57162,0.00119,0.07144,0.25662,-0.27326,-0.17401,-0.94607
65.135,0.56539,0.00105,0.07102,0.25674,-0.27326,-0.17401,-0.94607
65.186,0.55916,0.00092,0.07059,0.25686,-0.27326,-0.17401,-0.94607
65.237,0.55293,0.00078,0.07016,0.25697,-0.27326,-0.17401,-0.94607
65.288,0.54669,0.00065,0.06973,0.25709,-0.27326,-0.17401,-0.94607
65.339,0.54046,0.00052,0.06929,0.25721,-0.27326,-0.17401,-0.94607
65.39,0.53423,0.00039,0.06887,0.25732,-0.27326,-0.17401,-0.94607
65.441,0.528,0.00026,0.06843,0.25744,-0.27326,-0.17401,-0.94607
65.492,0.52177,0.00014,0.06799,0.25756,-0.27325,-0.17401,-0.94607
65.543,0.51554,2e-05,0.06756,0.25767,-0.27325,-0.17401,-0.94607
65.594,0.50931,-0.0001,0.06712,0.25779,-0.27325,-0.17401,-0.94607
65.645,0.50308,-0.00021,0.06668,0.2579,-0.27325,-0.17401,-0.94607
65.696,0.49685,-0.00032,0.06624,0.25801,-0.27325,-0.17401,-0.94607
65.747,0.49062,-0.00043,0.0658,0.25812,-0.27325,-0.17401,-0.94607
65.798,0.48438,-0.00054,0.06537,0.25823,-0.27325,-0.17401,-0.94607
65.849,0.47815,-0.00064,0.06493,0.25835,-0.27325,-0.17401,-0.94607
65.9,0.47192,-0.00074,0.06449,0.25845,-0.27325,-0.17401,-0.94607
65.951,0.46569,-0.00084,0.06405,0.25856,-0.27325,-0.17401,-0.94607
66.002,0.45946,-0.00094,0.0636,0.25867,-0.27325,-0.17401,-0.94607
66.053,0.45323,-0.00103,0.06315,0.25878,-0.27324,-0.17401,-0.94608
