timestamp,joint_5,spherical_wrist_1_link.x,spherical_wrist_1_link.y,spherical_wrist_1_link.z,spherical_wrist_1_link.x_hat,spherical_wrist_1_link.y_hat,spherical_wrist_1_link.z_hat
15.776,-1e-05,-0.14663,-0.00042,0.18676,-0.00021,1e-05,-1.0
15.827,-0.00131,-0.14663,-0.00076,0.18676,-0.00021,1e-05,-1.0
15.878,-0.00483,-0.14663,-0.00143,0.18676,-0.00021,1e-05,-1.0
15.929,-0.01045,-0.14661,-0.00232,0.18676,-0.00021,1e-05,-1.0
15.98,-0.01673,-0.1466,-0.00323,0.18676,-0.00021,1e-05,-1.0
16.031,-0.02296,-0.14657,-0.00415,0.18676,-0.00021,1e-05,-1.0
16.082,-0.0292,-0.14655,-0.00506,0.18676,-0.00021,1e-05,-1.0
16.133,-0.03543,-0.14651,-0.00597,0.18676,-0.0002,1e-05,-1.0
16.184,-0.04166,-0.14647,-0.00689,0.18676,-0.0002,1e-05,-1.0
16.235,-0.04789,-0.14643,-0.00778,0.18676,-0.0002,1e-05,-1.0
16.286,-0.05412,-0.14638,-0.0087,0.18676,-0.0002,1e-05,-1.0
16.337,-0.06035,-0.14632,-0.00959,0.18676,-0.0002,1e-05,-1.0
16.388,-0.06658,-0.14626,-0.0105,0.18676,-0.0002,1e-05,-1.0
16.439,-0.07281,-0.14619,-0.01139,0.18676,-0.00019,1e-05,-1.0
16.49,-0.07904,-0.14612,-0.01231,0.18676,-0.00019,1e-05,-1.0
16.541,-0.08528,-0.14604,-0.01322,0.18676,-0.00019,1e-05,-1.0
16.592,-0.09151,-0.14596,-0.01411,0.18676,-0.00019,1e-05,-1.0
16.643,-0.09774,-0.14587,-0.01502,0.18676,-0.00019,1e-05,-1.0
16.694,-0.10397,-0.14577,-0.01593,0.18676,-0.00018,1e-05,-1.0
16.745,-0.1102,-0.14567,-0.01683,0.18676,-0.00018,1e-05,-1.0
16.796,-0.11643,-0.14556,-0.01772,0.18676,-0.00018,1e-05,-1.0
16.847,-0.12266,-0.14545,-0.01863,0.18676,-0.00018,1e-05,-1.0
16.898,-0.12889,-0.14533,-0.01952,0.18676,-0.00018,1e-05,-1.0
16.949,-0.13512,-0.14521,-0.02042,0.18676,-0.00018,1e-05,-1.0
17.0,-0.14136,-0.14508,-0.02131,0.18676,-0.00017,1e-05,-1.0
17.051,-0.14759,-0.14495,-0.0222,0.18676,-0.00017,1e-05,-1.0
17.102,-0.15382,-0.14481,-0.0231,0.18676,-0.00017,1e-05,-1.0
17.153,-0.16005,-0.14466,-0.02399,0.18676,-0.00017,1e-05,-1.0
17.204,-0.16628,-0.14451,-0.02489,0.18676,-0.00017,1e-05,-1.0
17.255,-0.17251,-0.14435,-0.02579,0.18676,-0.00017,1e-05,-1.0
17.306,-0.17874,-0.14419,-0.02669,0.18676,-0.00016,1e-05,-1.0
17.357,-0.18498,-0.14403,-0.02757,0.18676,-0.00016,1e-05,-1.0
17.408,-0.19121,-0.14385,-0.02846,0.18676,-0.00016,1e-05,-1.0
17.459,-0.19744,-0.14367,-0.02936,0.18676,-0.00016,1e-05,-1.0
17.51,-0.20367,-0.14349,-0.03025,0.18676,-0.00016,1e-05,-1.0
17.561,-0.2099,-0.1433,-0.03113,0.18676,-0.00016,1e-05,-1.0
17.612,-0.21613,-0.1431,-0.03202,0.18676,-0.00015,1e-05,-1.0
17.663,-0.22236,-0.1429,-0.03291,0.18676,-0.00015,1e-05,-1.0
17.714,-0.22859,-0.1427,-0.03379,0.18676,-0.00015,1e-05,-1.0
17.765,-0.23482,-0.14249,-0.03466,0.18676,-0.00015,1e-05,-1.0
17.816,-0.24106,-0.14227,-0.03554,0.18676,-0.00015,1e-05,-1.0
17.867,-0.24729,-0.14205,-0.03643,0.18676,-0.00014,1e-05,-1.0
17.918,-0.25352,-0.14182,-0.0373,0.18676,-0.00014,1e-05,-1.0
17.969,-0.25975,-0.14159,-0.03816,0.18676,-0.00014,1e-05,-1.0
18.02,-0.26598,-0.14135,-0.03905,0.18676,-0.00014,1e-05,-1.0
18.071,-0.27221,-0.14111,-0.03991,0.18676,-0.00014,1e-05,-1.0
18.122,-0.27844,-0.14086,-0.04077,0.18675,-0.00014,1e-05,-1.0
18.173,-0.28467,-0.14061,-0.04165,0.18675,-0.00013,1e-05,-1.0
18.224,-0.29091,-0.14035,-0.04252,0.18675,-0.00013,1e-05,-1.0
18.275,-0.29714,-0.14008,-0.04338,0.18675,-0.00013,1e-05,-1.0
18.326,-0.30337,-0.13981,-0.04425,0.18675,-0.00013,1e-05,-1.0
18.377,-0.3096,-0.13954,-0.0451,0.18675,-0.00013,1e-05,-1.0
18.428,-0.31583,-0.13926,-0.04596,0.18675,-0.00013,1e-05,-1.0
18.479,-0.32206,-0.13897,-0.04682,0.18675,-0.00012,1e-05,-1.0
18.53,-0.32829,-0.13868,-0.04767,0.18675,-0.00012,1e-05,-1.0
18.581,-0.33452,-0.13838,-0.04853,0.18675,-0.00012,1e-05,-1.0
18.632,-0.34076,-0.13808,-0.04938,0.18675,-0.00012,1e-05,-1.0
18.683,-0.34699,-0.13777,-0.05024,0.18675,-0.00012,1e-05,-1.0
18.734,-0.35322,-0.13746,-0.05108,0.18675,-0.00012,1e-05,-1.0
18.785,-0.35945,-0.13714,-0.05193,0.18675,-0.00011,1e-05,-1.0
18.836,-0.36568,-0.13649,-0.05362,0.18675,-0.00011,1e-05,-1.0
18.887,-0.37191,-0.13616,-0.05446,0.18675,-0.00011,1e-05,-1.0
18.938,-0.37814,-0.13582,-0.0553,0.18675,-0.00011,1e-05,-1.0
18.989,-0.38437,-0.13548,-0.05613,0.18675,-0.0001,1e-05,-1.0
19.04,-0.39061,-0.13513,-0.05698,0.18675,-0.0001,1e-05,-1.0
19.091,-0.39684,-0.13478,-0.0578,0.18675,-0.0001,1e-05,-1.0
19.142,-0.40306,-0.13442,-0.05864,0.18675,-0.0001,1e-05,-1.0
19.193,-0.4093,-0.13405,-0.05948,0.18675,-0.0001,1e-05,-1.0
