timestamp,joint_3,half_arm_2_link.x,half_arm_2_link.y,half_arm_2_link.z,half_arm_2_link.x_hat,half_arm_2_link.y_hat,half_arm_2_link.z_hat
51.67,0.60456,0.10016,-0.15781,0.59715,-0.14149,0.01467,-0.98983
51.721,0.60326,0.10064,-0.15776,0.59709,-0.14149,0.01467,-0.98983
51.772,0.59974,0.10145,-0.15767,0.59697,-0.14149,0.01467,-0.98983
51.823,0.59391,0.10248,-0.15756,0.59683,-0.14149,0.01467,-0.98983
51.874,0.58686,0.10353,-0.15743,0.59668,-0.14149,0.01467,-0.98983
51.925,0.57974,0.10455,-0.1573,0.59654,-0.14149,0.01467,-0.98983
51.976,0.57262,0.1056,-0.15716,0.59639,-0.14149,0.01467,-0.98983
52.027,0.5655,0.10662,-0.15702,0.59624,-0.14149,0.01467,-0.98983
52.078,0.55838,0.10767,-0.15686,0.5961,-0.14149,0.01467,-0.98983
52.129,0.55123,0.10869,-0.1567,0.59595,-0.14149,0.01467,-0.98983
52.18,0.54413,0.10973,-0.15653,0.59581,-0.14149,0.01467,-0.98983
52.231,0.53701,0.11077,-0.15636,0.59566,-0.14149,0.01467,-0.98983
52.282,0.52989,0.11179,-0.15618,0.59552,-0.14149,0.01467,-0.98983
52.333,0.52277,0.11283,-0.15598,0.59537,-0.14149,0.01467,-0.98983
52.384,0.51565,0.11384,-0.15579,0.59523,-0.14149,0.01467,-0.98983
52.435,0.50853,0.11488,-0.15558,0.59509,-0.14149,0.01467,-0.98983
52.486,0.50141,0.11591,-0.15537,0.59494,-0.14149,0.01467,-0.98983
52.537,0.49429,0.11694,-0.15515,0.5948,-0.14149,0.01467,-0.98983
52.588,0.48716,0.11797,-0.15492,0.59466,-0.14149,0.01467,-0.98983
52.639,0.48004,0.11898,-0.15469,0.59451,-0.14149,0.01467,-0.98983
52.69,0.47292,0.11999,-0.15445,0.59437,-0.14149,0.01467,-0.98983
52.741,0.4658,0.12101,-0.1542,0.59423,-0.14149,0.01467,-0.98983
52.792,0.45868,0.12204,-0.15394,0.59409,-0.14149,0.01467,-0.98983
