timestamp,joint_1,shoulder_link.x,shoulder_link.y,shoulder_link.z,shoulder_link.x_hat,shoulder_link.y_hat,shoulder_link.z_hat
42.822,-0.00016,0.55936,-0.32776,0.4889,-0.0,1e-05,-1.0
42.873,-0.00146,0.56036,-0.32604,0.4889,-0.0,1e-05,-1.0
42.924,-0.00498,0.56209,-0.32305,0.4889,-0.0,1e-05,-1.0
42.975,-0.01081,0.56432,-0.31914,0.4889,-0.0,1e-05,-1.0
43.026,-0.01786,0.56653,-0.31519,0.4889,-0.0,1e-05,-1.0
43.077,-0.02498,0.56876,-0.31115,0.4889,-0.0,1e-05,-1.0
43.128,-0.0321,0.57092,-0.30717,0.4889,-0.0,1e-05,-1.0
43.179,-0.03922,0.5731,-0.3031,0.4889,-0.0,1e-05,-1.0
43.23,-0.04635,0.5752,-0.29909,0.4889,-0.0,1e-05,-1.0
43.281,-0.05347,0.57731,-0.29499,0.4889,-0.0,1e-05,-1.0
43.332,-0.06059,0.57936,-0.29095,0.4889,-0.0,1e-05,-1.0
43.383,-0.06771,0.58141,-0.28682,0.4889,-0.0,1e-05,-1.0
43.434,-0.07483,0.58344,-0.28267,0.4889,-0.0,1e-05,-1.0
43.485,-0.08195,0.58544,-0.27851,0.4889,-0.0,1e-05,-1.0
43.536,-0.08907,0.58741,-0.27433,0.4889,-0.0,1e-05,-1.0
43.587,-0.09619,0.58935,-0.27014,0.4889,-0.0,1e-05,-1.0
43.638,-0.10331,0.59122,-0.26602,0.4889,-0.0,1e-05,-1.0
43.689,-0.11043,0.5931,-0.2618,0.4889,-0.0,1e-05,-1.0
43.74,-0.11755,0.59491,-0.25766,0.4889,-0.0,1e-05,-1.0
43.791,-0.12468,0.59673,-0.25341,0.4889,-0.0,1e-05,-1.0
43.842,-0.1318,0.59848,-0.24924,0.4889,-0.0,1e-05,-1.0
43.893,-0.13892,0.60024,-0.24497,0.4889,-0.0,1e-05,-1.0
43.944,-0.14604,0.60194,-0.24078,0.4889,-0.0,1e-05,-1.0
43.995,-0.15316,0.60364,-0.23649,0.4889,-0.0,1e-05,-1.0
44.046,-0.16028,0.6053,-0.23218,0.4889,-0.0,1e-05,-1.0
44.097,-0.1674,0.60691,-0.22795,0.4889,-0.0,1e-05,-1.0
44.148,-0.17452,0.60852,-0.22362,0.4889,-0.0,1e-05,-1.0
44.199,-0.18164,0.61009,-0.21928,0.4889,-0.0,1e-05,-1.0
44.25,-0.18877,0.61161,-0.21502,0.4889,-0.0,1e-05,-1.0
44.301,-0.19589,0.61313,-0.21066,0.4889,-0.0,1e-05,-1.0
44.352,-0.20301,0.61458,-0.20637,0.4889,-0.0,1e-05,-1.0
44.403,-0.21013,0.61603,-0.20199,0.4889,-0.0,1e-05,-1.0
44.454,-0.21725,0.61743,-0.19768,0.4889,-0.0,1e-05,-1.0
44.505,-0.22437,0.61882,-0.19329,0.4889,-0.0,1e-05,-1.0
