timestamp,joint_7,bracelet_link.x,bracelet_link.y,bracelet_link.z,bracelet_link.x_hat,bracelet_link.y_hat,bracelet_link.z_hat
89.898,0.80923,-0.013,0.01209,0.05891,0.21122,-0.19653,-0.95748
89.949,0.80793,-0.013,0.01209,0.05891,0.21122,-0.19653,-0.95748
90.0,0.80441,-0.01299,0.01209,0.05891,0.21121,-0.19653,-0.95748
90.051,0.79879,-0.01299,0.01209,0.05891,0.21121,-0.19653,-0.95748
90.102,0.79251,-0.01299,0.01209,0.05891,0.21121,-0.19653,-0.95748
90.153,0.78627,-0.01299,0.01209,0.05891,0.21121,-0.19653,-0.95748
90.204,0.78004,-0.01299,0.01209,0.05891,0.21121,-0.19653,-0.95748
90.255,0.77381,-0.01299,0.01209,0.05891,0.21121,-0.19653,-0.95748
90.306,0.76758,-0.01299,0.01209,0.05891,0.21121,-0.19653,-0.95748
90.357,0.76135,-0.01299,0.01209,0.05891,0.21121,-0.19653,-0.95748
90.408,0.75512,-0.01299,0.01209,0.05891,0.21121,-0.19653,-0.95748
90.459,0.74889,-0.01299,0.01209,0.05891,0.21121,-0.19653,-0.95748
90.51,0.74266,-0.01299,0.01209,0.05891,0.21121,-0.19653,-0.95748
90.561,0.73643,-0.01299,0.01209,0.05891,0.21121,-0.19653,-0.95748
90.612,0.73019,-0.01299,0.01209,0.05891,0.21121,-0.19653,-0.95748
90.663,0.72396,-0.01299,0.01209,0.05891,0.21121,-0.19653,-0.95748
90.714,0.71773,-0.01299,0.01209,0.05891,0.21121,-0.19653,-0.95748
90.765,0.7115,-0.01299,0.01209,0.05891,0.21121,-0.19653,-0.95748
90.816,0.70527,-0.01299,0.01209,0.05891,0.2112,-0.19653,-0.95748
90.867,0.69904,-0.01299,0.01209,0.05891,0.2112,-0.19653,-0.95748
90.918,0.69281,-0.01299,0.01209,0.05891,0.2112,-0.19653,-0.95748
90.969,0.68658,-0.01299,0.01209,0.05891,0.2112,-0.19653,-0.95748
91.02,0.68035,-0.01299,0.01209,0.05891,0.2112,-0.19653,-0.95748
91.071,0.67411,-0.01299,0.01209,0.05891,0.2112,-0.19653,-0.95748
91.122,0.66788,-0.01299,0.01209,0.05891,0.2112,-0.19653,-0.95748
91.173,0.66165,-0.01299,0.01209,0.05891,0.2112,-0.19653,-0.95748
91.224,0.65542,-0.01299,0.01209,0.05891,0.2112,-0.19653,-0.95748
91.275,0.64919,-0.01299,0.01209,0.05891,0.2112,-0.19653,-0.95748
91.326,0.64296,-0.01299,0.01209,0.05891,0.2112,-0.19653,-0.95748
91.377,0.63673,-0.01299,0.01209,0.05891,0.2112,-0.19653,-0.95748
91.428,0.6305,-0.01299,0.01209,0.05891,0.2112,-0.19653,-0.95748
91.479,0.62426,-0.01299,0.01209,0.05891,0.2112,-0.19653,-0.95748
91.53,0.61803,-0.01299,0.01209,0.05891,0.2112,-0.19653,-0.95748
91.581,0.6118,-0.01299,0.01209,0.05891,0.21119,-0.19653,-0.95748
91.632,0.60557,-0.01299,0.01209,0.05891,0.21119,-0.19653,-0.95748
91.683,0.59934,-0.01299,0.01209,0.05891,0.21119,-0.19653,-0.95748
91.734,0.59311,-0.01299,0.01209,0.05891,0.21119,-0.19653,-0.95748
91.785,0.58688,-0.01299,0.01209,0.05891,0.21119,-0.19653,-0.95748
91.836,0.58064,-0.01299,0.01209,0.05891,0.21119,-0.19653,-0.95748
91.887,0.57441,-0.01299,0.01209,0.05891,0.21119,-0.19653,-0.95748
91.938,0.56818,-0.01299,0.01209,0.05891,0.21119,-0.19653,-0.95748
91.989,0.56195,-0.01299,0.01209,0.05891,0.21119,-0.19653,-0.95748
92.04,0.55572,-0.01299,0.01209,0.05891,0.21119,-0.19653,-0.95748
92.091,0.54949,-0.01299,0.01209,0.05891,0.21119,-0.19653,-0.95748
92.142,0.54326,-0.01299,0.01209,0.05891,0.21119,-0.19653,-0.95748
92.193,0.53703,-0.01299,0.01209,0.05891,0.21119,-0.19653,-0.95748
92.244,0.5308,-0.01299,0.01209,0.05891,0.21119,-0.19653,-0.95748
92.295,0.52457,-0.01299,0.01209,0.05891,0.21119,-0.19653,-0.95748
92.346,0.51833,-0.01299,0.01209,0.05891,0.21118,-0.19653,-0.95748
92.397,0.51211,-0.01299,0.01209,0.05891,0.21118,-0.19653,-0.95748
92.448,0.50587,-0.01299,0.01209,0.05891,0.21118,-0.19653,-0.95748
92.499,0.49964,-0.01299,0.01209,0.05891,0.21118,-0.19653,-0.95748
92.55,0.49341,-0.01299,0.01209,0.05891,0.21118,-0.19653,-0.95748
92.601,0.48718,-0.01299,0.01209,0.05891,0.21118,-0.19653,-0.95748
92.652,0.48095,-0.01299,0.01209,0.05891,0.21118,-0.19653,-0.95749
92.703,0.47472,-0.01299,0.01209,0.05891,0.21118,-0.19653,-0.95749
92.754,0.46849,-0.01299,0.01209,0.05891,0.21118,-0.19653,-0.95749
92.805,0.46225,-0.01299,0.01209,0.05891,0.21118,-0.19653,-0.95749
92.856,0.45602,-0.01299,0.01209,0.05891,0.21118,-0.19653,-0.95749
92.907,0.44979,-0.01299,0.01209,0.05891,0.21118,-0.19653,-0.95749
92.958,0.44356,-0.01299,0.01209,0.05891,0.21118,-0.19653,-0.95749
93.009,0.43733,-0.01299,0.01209,0.05891,0.21118,-0.19653,-0.95749
93.06,0.4311,-0.01299,0.01209,0.05891,0.21118,-0.19653,-0.95749
93.111,0.42486,-0.01299,0.01209,0.05891,0.21118,-0.19653,-0.95749
93.162,0.41863,-0.01299,0.01209,0.05891,0.21117,-0.19653,-0.95749
93.214,0.41228,-0.01299,0.01209,0.05891,0.21117,-0.19653,-0.95749
93.265,0.40605,-0.01299,0.01209,0.05891,0.21117,-0.19653,-0.95749
93.316,0.39982,-0.01299,0.01209,0.05891,0.21117,-0.19653,-0.95749
93.367,0.39359,-0.01299,0.01209,0.05891,0.21117,-0.19653,-0.95749
93.418,0.38736,-0.01299,0.01209,0.05891,0.21117,-0.19653,-0.95749
93.47,0.381,-0.01299,0.01209,0.05891,0.21117,-0.19653,-0.95749
93.521,0.37477,-0.01299,0.01209,0.05891,0.21117,-0.19653,-0.95749
93.572,0.36854,-0.01299,0.01209,0.05891,0.21117,-0.19653,-0.95749
93.623,0.36231,-0.01299,0.01209,0.05891,0.21117,-0.19653,-0.95749
93.674,0.35608,-0.01299,0.01209,0.05891,0.21117,-0.19653,-0.95749
93.725,0.34985,-0.01299,0.01209,0.05891,0.21117,-0.19653,-0.95749
93.776,0.34362,-0.01299,0.01209,0.05891,0.21117,-0.19653,-0.95749
93.827,0.33738,-0.01299,0.01209,0.05891,0.21117,-0.19653,-0.95749
93.878,0.33115,-0.01299,0.01209,0.05891,0.21116,-0.19653,-0.95749
93.929,0.32492,-0.01299,0.01209,0.05891,0.21116,-0.19653,-0.95749
93.98,0.31869,-0.01299,0.01209,0.05891,0.21116,-0.19653,-0.95749
94.031,0.31246,-0.01299,0.01209,0.05891,0.21116,-0.19653,-0.95749
94.082,0.30623,-0.01299,0.01209,0.05891,0.21116,-0.19653,-0.95749
94.133,0.3,-0.01299,0.01209,0.05891,0.21116,-0.19653,-0.95749
94.184,0.29377,-0.01299,0.01209,0.05891,0.21116,-0.19653,-0.95749
94.235,0.28754,-0.01299,0.01209,0.05891,0.21116,-0.19653,-0.95749
94.287,0.28118,-0.01299,0.01209,0.05891,0.21116,-0.19653,-0.95749
94.338,0.27495,-0.01299,0.01209,0.05891,0.21116,-0.19653,-0.95749
94.389,0.26872,-0.01299,0.01209,0.05891,0.21116,-0.19653,-0.95749
94.44,0.26249,-0.01299,0.01209,0.05891,0.21116,-0.19653,-0.95749
94.491,0.25626,-0.01299,0.01209,0.05891,0.21116,-0.19653,-0.95749
94.542,0.25003,-0.01299,0.01209,0.05891,0.21116,-0.19653,-0.95749
94.593,0.2438,-0.01299,0.01209,0.05891,0.21116,-0.19653,-0.95749
94.644,0.23756,-0.01299,0.01209,0.05891,0.21115,-0.19653,-0.95749
94.695,0.23133,-0.01299,0.01209,0.05891,0.21115,-0.19653,-0.95749
94.746,0.2251,-0.01299,0.01209,0.05891,0.21115,-0.19653,-0.95749
94.797,0.21887,-0.01299,0.01209,0.05891,0.21115,-0.19653,-0.95749
94.848,0.21264,-0.01299,0.01209,0.05891,0.21115,-0.19653,-0.95749
94.899,0.20641,-0.01299,0.01209,0.05891,0.21115,-0.19653,-0.95749
94.95,0.20018,-0.01299,0.01209,0.05891,0.21115,-0.19653,-0.95749
95.001,0.19395,-0.01299,0.01209,0.05891,0.21115,-0.19653,-0.95749
95.052,0.18772,-0.01299,0.01209,0.05891,0.21115,-0.19653,-0.95749
95.103,0.18149,-0.01299,0.01209,0.05891,0.21115,-0.19653,-0.95749
95.155,0.17513,-0.01299,0.01209,0.05891,0.21115,-0.19653,-0.95749
95.206,0.1689,-0.01299,0.01209,0.05891,0.21115,-0.19653,-0.95749
95.257,0.16267,-0.01299,0.01209,0.05891,0.21115,-0.19653,-0.95749
95.308,0.15644,-0.01299,0.01209,0.05891,0.21115,-0.19653,-0.95749
95.359,0.15021,-0.01299,0.01209,0.05891,0.21115,-0.19653,-0.95749
95.41,0.14398,-0.01299,0.01209,0.05891,0.21115,-0.19654,-0.95749
95.461,0.13774,-0.01299,0.01209,0.05891,0.21114,-0.19654,-0.95749
95.512,0.13151,-0.01299,0.01209,0.05891,0.21114,-0.19654,-0.95749
95.563,0.12528,-0.01299,0.01209,0.05891,0.21114,-0.19654,-0.95749
95.614,0.11905,-0.01299,0.01209,0.05891,0.21114,-0.19654,-0.95749
95.665,0.11282,-0.01299,0.01209,0.05891,0.21114,-0.19654,-0.95749
95.716,0.10659,-0.01299,0.01209,0.05891,0.21114,-0.19654,-0.95749
95.767,0.10036,-0.01299,0.01209,0.05891,0.21114,-0.19654,-0.95749
95.818,0.09413,-0.01299,0.01209,0.05891,0.21114,-0.19654,-0.95749
95.869,0.08789,-0.01299,0.01209,0.05891,0.21114,-0.19654,-0.95749
95.92,0.08166,-0.01299,0.01209,0.05891,0.21114,-0.19654,-0.95749
95.971,0.07543,-0.01299,0.01209,0.05891,0.21114,-0.19654,-0.95749
96.022,0.0692,-0.01299,0.01209,0.05891,0.21114,-0.19654,-0.95749
96.073,0.06297,-0.01299,0.01209,0.05891,0.21114,-0.19654,-0.95749
96.124,0.05674,-0.01299,0.01209,0.05891,0.21114,-0.19654,-0.95749
96.175,0.05051,-0.01299,0.01209,0.05891,0.21114,-0.19654,-0.95749
96.226,0.04428,-0.01299,0.01209,0.05891,0.21113,-0.19654,-0.95749
96.278,0.03792,-0.01299,0.01209,0.05891,0.21113,-0.19654,-0.95749
96.329,0.03169,-0.01299,0.01209,0.05891,0.21113,-0.19654,-0.95749
96.38,0.02546,-0.01299,0.01209,0.05891,0.21113,-0.19654,-0.95749
96.431,0.01923,-0.01299,0.01209,0.05891,0.21113,-0.19654,-0.9575
96.482,0.01298,-0.01299,0.01209,0.05891,0.21113,-0.19654,-0.9575
96.533,0.00677,-0.01299,0.01209,0.05891,0.21113,-0.19654,-0.9575
96.584,0.00054,-0.01299,0.01209,0.05891,0.21113,-0.19654,-0.9575
96.635,-0.0057,-0.01299,0.01209,0.05891,0.21113,-0.19654,-0.9575
96.686,-0.01193,-0.01299,0.01209,0.05891,0.21113,-0.19654,-0.9575
96.737,-0.01816,-0.01299,0.01209,0.05891,0.21113,-0.19654,-0.9575
96.788,-0.02439,-0.01299,0.01209,0.05891,0.21113,-0.19654,-0.9575
96.839,-0.03062,-0.01299,0.01209,0.05891,0.21113,-0.19654,-0.9575
96.89,-0.03685,-0.01299,0.01209,0.05891,0.21113,-0.19654,-0.9575
96.941,-0.04308,-0.01299,0.01209,0.05891,0.21113,-0.19654,-0.9575
96.992,-0.04932,-0.01299,0.01209,0.05891,0.21113,-0.19654,-0.9575
97.043,-0.05555,-0.01299,0.01209,0.05891,0.21112,-0.19654,-0.9575
97.094,-0.06178,-0.01299,0.01209,0.05891,0.21112,-0.19654,-0.9575
97.145,-0.06801,-0.01299,0.01209,0.05891,0.21112,-0.19654,-0.9575
97.196,-0.07424,-0.01299,0.01209,0.05891,0.21112,-0.19654,-0.9575
97.247,-0.08047,-0.01299,0.01209,0.05891,0.21112,-0.19654,-0.9575
