timestamp,joint_4,forearm_link.x,forearm_link.y,forearm_link.z,forearm_link.x_hat,forearm_link.y_hat,forearm_link.z_hat
18.12,0.0,0.03642,-0.06126,0.46836,-0.00016,1.0,1e-05
18.171,0.00131,0.03765,-0.06126,0.46826,-0.00016,1.0,1e-05
18.222,0.00483,0.03991,-0.06126,0.46807,-0.00016,1.0,1e-05
18.273,0.01066,0.04308,-0.06126,0.46779,-0.00016,1.0,1e-05
18.324,0.01771,0.04641,-0.06126,0.46747,-0.00016,1.0,1e-05
18.376,0.02483,0.04967,-0.06126,0.46714,-0.00016,1.0,1e-05
18.426,0.03195,0.053,-0.06125,0.46677,-0.00016,1.0,1e-05
18.477,0.03907,0.05632,-0.06125,0.46638,-0.00016,1.0,1e-05
18.528,0.04619,0.05958,-0.06125,0.46598,-0.00016,1.0,1e-05
18.579,0.05331,0.06289,-0.06125,0.46554,-0.00016,1.0,1e-05
18.63,0.06043,0.06614,-0.06125,0.46509,-0.00016,1.0,1e-05
18.681,0.06756,0.06939,-0.06125,0.46462,-0.00016,1.0,1e-05
18.732,0.07467,0.07263,-0.06125,0.46412,-0.00016,1.0,1e-05
18.783,0.0818,0.07593,-0.06125,0.4636,-0.00016,1.0,1e-05
18.834,0.08892,0.07916,-0.06125,0.46305,-0.00016,1.0,1e-05
18.885,0.09604,0.08239,-0.06125,0.46249,-0.00017,1.0,1e-05
18.936,0.10316,0.08569,-0.06125,0.46189,-0.00017,1.0,1e-05
18.987,0.11028,0.08897,-0.06125,0.46127,-0.00017,1.0,1e-05
19.038,0.1174,0.09219,-0.06125,0.46064,-0.00017,1.0,1e-05
19.089,0.12452,0.09547,-0.06125,0.45997,-0.00017,1.0,1e-05
19.14,0.13165,0.09867,-0.06125,0.45929,-0.00017,1.0,1e-05
19.191,0.13877,0.10194,-0.06125,0.45858,-0.00017,1.0,1e-05
19.242,0.14589,0.10514,-0.06124,0.45786,-0.00017,1.0,1e-05
19.293,0.15301,0.10834,-0.06124,0.45711,-0.00017,1.0,1e-05
19.344,0.16013,0.11153,-0.06124,0.45634,-0.00017,1.0,1e-05
19.395,0.16725,0.11477,-0.06124,0.45554,-0.00017,1.0,1e-05
19.446,0.17437,0.11795,-0.06124,0.45472,-0.00017,1.0,1e-05
19.497,0.1815,0.12112,-0.06124,0.45389,-0.00017,1.0,1e-05
19.548,0.18862,0.12435,-0.06124,0.45302,-0.00017,1.0,1e-05
19.599,0.19574,0.12751,-0.06124,0.45214,-0.00017,1.0,1e-05
19.65,0.20286,0.13066,-0.06124,0.45124,-0.00017,1.0,1e-05
19.701,0.20998,0.13387,-0.06124,0.45029,-0.00017,1.0,1e-05
19.752,0.2171,0.13707,-0.06124,0.44933,-0.00017,1.0,1e-05
19.803,0.22422,0.14027,-0.06124,0.44834,-0.00017,1.0,1e-05
19.854,0.23134,0.1434,-0.06124,0.44735,-0.00017,1.0,1e-05
19.905,0.23846,0.14658,-0.06124,0.44632,-0.00017,1.0,1e-05
19.956,0.24558,0.14969,-0.06124,0.44529,-0.00017,1.0,1e-05
20.007,0.2527,0.15286,-0.06124,0.44421,-0.00017,1.0,1e-05
20.058,0.25983,0.15602,-0.06124,0.44311,-0.00017,1.0,1e-05
20.109,0.26695,0.15911,-0.06123,0.44201,-0.00017,1.0,1e-05
20.161,0.27407,0.16225,-0.06123,0.44087,-0.00017,1.0,1e-05
20.211,0.28119,0.16532,-0.06123,0.43972,-0.00017,1.0,1e-05
20.262,0.28831,0.16845,-0.06123,0.43854,-0.00017,1.0,1e-05
20.313,0.29543,0.17157,-0.06123,0.43733,-0.00017,1.0,1e-05
20.364,0.30255,0.17462,-0.06123,0.43612,-0.00017,1.0,1e-05
20.415,0.30967,0.17772,-0.06123,0.43486,-0.00017,1.0,1e-05
20.466,0.31679,0.18075,-0.06123,0.43361,-0.00017,1.0,1e-05
20.517,0.32391,0.18383,-0.06123,0.43231,-0.00017,1.0,1e-05
20.568,0.33104,0.1869,-0.06123,0.43099,-0.00017,1.0,1e-05
20.619,0.33816,0.18997,-0.06123,0.42965,-0.00017,1.0,1e-05
20.67,0.34528,0.19296,-0.06123,0.42832,-0.00017,1.0,1e-05
20.721,0.3524,0.19595,-0.06123,0.42696,-0.00017,1.0,1e-05
20.773,0.35952,0.19892,-0.06123,0.42558,-0.00017,1.0,1e-05
20.825,0.36678,0.20195,-0.06123,0.42415,-0.00017,1.0,1e-05
20.875,0.3739,0.2049,-0.06123,0.42273,-0.00017,1.0,1e-05
20.926,0.38102,0.20785,-0.06122,0.42129,-0.00017,1.0,1e-05
20.977,0.38815,0.21085,-0.06122,0.4198,-0.00017,1.0,1e-05
21.028,0.39527,0.21383,-0.06122,0.41829,-0.00017,1.0,1e-05
21.079,0.40239,0.21674,-0.06122,0.41679,-0.00017,1.0,1e-05
21.13,0.40951,0.21971,-0.06122,0.41523,-0.00017,1.0,1e-05
21.181,0.41663,0.22554,-0.06122,0.41209,-0.00017,1.0,1e-05
21.232,0.42375,0.22554,-0.06122,0.41209,-0.00017,1.0,1e-05
21.283,0.43087,0.22847,-0.06122,0.41048,-0.00017,1.0,1e-05
21.334,0.43799,0.23423,-0.06122,0.40722,-0.00017,1.0,1e-05
21.385,0.44511,0.23707,-0.06122,0.40557,-0.00017,1.0,1e-05
21.436,0.45224,0.23995,-0.06122,0.40387,-0.00017,1.0,1e-05
21.487,0.45936,0.24277,-0.06122,0.40219,-0.00017,1.0,1e-05
21.538,0.46648,0.24562,-0.06122,0.40045,-0.00017,1.0,1e-05
21.589,0.4736,0.24841,-0.06122,0.39872,-0.00017,1.0,1e-05
21.64,0.48072,0.25125,-0.06122,0.39695,-0.00017,1.0,1e-05
21.691,0.48784,0.25407,-0.06122,0.39515,-0.00017,1.0,1e-05
21.742,0.49496,0.25687,-0.06121,0.39333,-0.00017,1.0,1e-05
21.793,0.50208,0.25961,-0.06121,0.39153,-0.00017,1.0,1e-05
21.844,0.5092,0.26234,-0.06121,0.3897,-0.00017,1.0,1e-05
21.895,0.51632,0.26511,-0.06121,0.38783,-0.00017,1.0,1e-05
21.946,0.52345,0.26781,-0.06121,0.38597,-0.00017,1.0,1e-05
21.997,0.53057,0.27055,-0.06121,0.38405,-0.00017,1.0,1e-05
22.048,0.53769,0.27328,-0.06121,0.38211,-0.00017,1.0,1e-05
22.099,0.54481,0.27594,-0.06121,0.3802,-0.00017,1.0,1e-05
22.15,0.55193,0.27864,-0.06121,0.37822,-0.00017,1.0,1e-05
22.201,0.55905,0.28127,-0.06121,0.37627,-0.00017,1.0,1e-05
22.252,0.56617,0.28389,-0.06121,0.3743,-0.00017,1.0,1e-05
22.303,0.57329,0.28655,-0.06121,0.37227,-0.00017,1.0,1e-05
22.354,0.58041,0.28914,-0.06121,0.37026,-0.00017,1.0,1e-05
22.405,0.58754,0.29177,-0.06121,0.36819,-0.00017,1.0,1e-05
22.456,0.59466,0.29433,-0.06121,0.36614,-0.00017,1.0,1e-05
22.507,0.60178,0.29688,-0.06121,0.36408,-0.00017,1.0,1e-05
22.558,0.6089,0.29947,-0.06121,0.36196,-0.00017,1.0,1e-05
22.609,0.61602,0.30204,-0.06121,0.35981,-0.00017,1.0,1e-05
22.66,0.62314,0.30459,-0.0612,0.35765,-0.00017,1.0,1e-05
22.711,0.63026,0.30708,-0.0612,0.35552,-0.00017,1.0,1e-05
22.762,0.63738,0.3096,-0.0612,0.35332,-0.00017,1.0,1e-05
22.813,0.6445,0.31211,-0.0612,0.35111,-0.00017,1.0,1e-05
22.864,0.65163,0.3146,-0.0612,0.34888,-0.00017,1.0,1e-05
22.915,0.65875,0.31703,-0.0612,0.34668,-0.00017,1.0,1e-05
22.966,0.66587,0.31944,-0.0612,0.34445,-0.00017,1.0,1e-05
23.017,0.67299,0.32189,-0.0612,0.34217,-0.00017,1.0,1e-05
23.068,0.68011,0.32427,-0.0612,0.33992,-0.00017,1.0,1e-05
23.119,0.68723,0.32663,-0.0612,0.33764,-0.00017,1.0,1e-05
23.17,0.69435,0.32898,-0.0612,0.33535,-0.00017,1.0,1e-05
23.221,0.70148,0.33136,-0.0612,0.333,-0.00017,1.0,1e-05
23.273,0.70859,0.33373,-0.0612,0.33064,-0.00017,1.0,1e-05
23.323,0.71572,0.33603,-0.0612,0.3283,-0.00017,1.0,1e-05
23.374,0.72284,0.33836,-0.0612,0.3259,-0.00017,1.0,1e-05
23.425,0.72996,0.34062,-0.0612,0.32353,-0.00017,1.0,1e-05
23.476,0.73708,0.34287,-0.0612,0.32114,-0.00017,1.0,1e-05
23.528,0.7442,0.34511,-0.0612,0.31874,-0.00017,1.0,1e-05
23.578,0.75132,0.34737,-0.0612,0.31628,-0.00017,1.0,1e-05
23.629,0.75844,0.34957,-0.0612,0.31384,-0.00017,1.0,1e-05
23.68,0.76556,0.35175,-0.06119,0.3114,-0.00017,1.0,1e-05
23.731,0.77268,0.35396,-0.06119,0.30888,-0.00017,1.0,1e-05
23.782,0.77981,0.35615,-0.06119,0.30636,-0.00017,1.0,1e-05
23.833,0.78693,0.35832,-0.06119,0.30381,-0.00017,1.0,1e-05
23.884,0.79405,0.36047,-0.06119,0.30125,-0.00017,1.0,1e-05
23.935,0.80117,0.36257,-0.06119,0.29873,-0.00017,1.0,1e-05
