timestamp,joint_6,spherical_wrist_2_link.x,spherical_wrist_2_link.y,spherical_wrist_2_link.z,spherical_wrist_2_link.x_hat,spherical_wrist_2_link.y_hat,spherical_wrist_2_link.z_hat
5.721,-0.03948,-0.04538,0.00148,0.16118,-0.16315,0.98501,-0.05608
5.772,-0.03817,-0.04506,0.00154,0.16127,-0.16315,0.98501,-0.05608
5.823,-0.03465,-0.04439,0.00166,0.16146,-0.16315,0.98501,-0.05608
5.874,-0.02903,-0.04345,0.00183,0.16171,-0.16315,0.98501,-0.05608
5.925,-0.02275,-0.04245,0.00201,0.16197,-0.16315,0.98501,-0.05608
5.976,-0.01652,-0.04147,0.00219,0.16222,-0.16315,0.98501,-0.05608
6.027,-0.01029,-0.04049,0.00236,0.16247,-0.16316,0.98501,-0.05608
6.079,-0.00406,-0.03951,0.00254,0.16271,-0.16316,0.98501,-0.05608
6.13,0.0023,-0.03851,0.00272,0.16294,-0.16316,0.985,-0.05608
6.181,0.00853,-0.03751,0.0029,0.16317,-0.16316,0.985,-0.05608
6.233,0.01476,-0.03653,0.00307,0.16339,-0.16316,0.985,-0.05608
6.284,0.02111,-0.03552,0.00325,0.16361,-0.16316,0.985,-0.05608
6.335,0.02734,-0.03454,0.00343,0.16382,-0.16316,0.985,-0.05607
6.386,0.03357,-0.03353,0.00361,0.16402,-0.16317,0.985,-0.05607
6.437,0.03981,-0.03254,0.00378,0.16422,-0.16317,0.985,-0.05607
6.488,0.04603,-0.03153,0.00396,0.16441,-0.16317,0.985,-0.05607
6.539,0.05227,-0.03054,0.00413,0.1646,-0.16317,0.985,-0.05607
6.59,0.0585,-0.02952,0.00431,0.16478,-0.16317,0.985,-0.05607
6.641,0.06473,-0.02851,0.00449,0.16495,-0.16317,0.985,-0.05607
6.692,0.07096,-0.0275,0.00467,0.16512,-0.16317,0.985,-0.05607
6.743,0.07719,-0.0265,0.00484,0.16527,-0.16318,0.985,-0.05607
6.794,0.08342,-0.02548,0.00502,0.16543,-0.16318,0.985,-0.05607
6.845,0.08966,-0.02449,0.00519,0.16557,-0.16318,0.985,-0.05607
6.896,0.09589,-0.02349,0.00536,0.16571,-0.16318,0.985,-0.05607
6.947,0.10212,-0.02247,0.00554,0.16585,-0.16318,0.985,-0.05607
6.998,0.10835,-0.02145,0.00572,0.16598,-0.16318,0.985,-0.05607
7.049,0.11458,-0.02045,0.00589,0.1661,-0.16318,0.985,-0.05607
7.1,0.12081,-0.01942,0.00607,0.16621,-0.16319,0.985,-0.05607
7.151,0.12704,-0.0184,0.00624,0.16632,-0.16319,0.985,-0.05606
7.202,0.13327,-0.0174,0.00641,0.16643,-0.16319,0.985,-0.05606
7.253,0.1395,-0.01637,0.00659,0.16652,-0.16319,0.985,-0.05606
7.304,0.14573,-0.01535,0.00676,0.16661,-0.16319,0.985,-0.05606
7.355,0.15197,-0.01432,0.00694,0.1667,-0.16319,0.985,-0.05606
7.406,0.1582,-0.0133,0.00711,0.16677,-0.16319,0.985,-0.05606
7.457,0.16443,-0.01229,0.00728,0.16684,-0.1632,0.985,-0.05606
7.508,0.17066,-0.01025,0.00763,0.16697,-0.1632,0.985,-0.05606
7.559,0.17689,-0.00925,0.0078,0.16702,-0.1632,0.985,-0.05606
7.61,0.18312,-0.00824,0.00797,0.16706,-0.1632,0.985,-0.05606
7.661,0.18935,-0.00721,0.00814,0.1671,-0.1632,0.985,-0.05606
7.712,0.19558,-0.0062,0.00831,0.16713,-0.1632,0.985,-0.05606
7.763,0.20182,-0.00519,0.00848,0.16716,-0.16321,0.985,-0.05606
7.814,0.20805,-0.00416,0.00865,0.16718,-0.16321,0.985,-0.05606
7.865,0.21428,-0.00315,0.00881,0.16719,-0.16321,0.985,-0.05606
7.916,0.22051,-0.00212,0.00899,0.1672,-0.16321,0.985,-0.05606
7.967,0.22674,-0.0011,0.00916,0.1672,-0.16321,0.985,-0.05605
8.018,0.23297,-7e-05,0.00933,0.1672,-0.16321,0.985,-0.05605
8.069,0.2392,0.00094,0.00949,0.16718,-0.16321,0.985,-0.05605
8.12,0.24543,0.00197,0.00966,0.16716,-0.16322,0.985,-0.05605
8.171,0.25166,0.003,0.00983,0.16714,-0.16322,0.985,-0.05605
8.222,0.25789,0.00403,0.01,0.16711,-0.16322,0.985,-0.05605
8.273,0.26412,0.00504,0.01017,0.16707,-0.16322,0.985,-0.05605
8.324,0.27036,0.00605,0.01033,0.16703,-0.16322,0.985,-0.05605
8.375,0.27659,0.00706,0.01049,0.16698,-0.16322,0.985,-0.05605
8.426,0.28282,0.00807,0.01066,0.16692,-0.16322,0.985,-0.05605
8.477,0.28905,0.0091,0.01082,0.16686,-0.16323,0.985,-0.05605
8.528,0.29528,0.0101,0.01099,0.16679,-0.16323,0.985,-0.05605
8.579,0.30151,0.01113,0.01115,0.16671,-0.16323,0.985,-0.05605
8.63,0.30774,0.01214,0.01132,0.16663,-0.16323,0.98499,-0.05605
8.681,0.31398,0.01317,0.01148,0.16654,-0.16323,0.98499,-0.05605
8.732,0.32021,0.01419,0.01165,0.16645,-0.16323,0.98499,-0.05605
8.783,0.32644,0.0152,0.01181,0.16635,-0.16323,0.98499,-0.05605
8.834,0.33267,0.01622,0.01197,0.16624,-0.16324,0.98499,-0.05604
8.885,0.3389,0.01725,0.01213,0.16612,-0.16324,0.98499,-0.05604
8.936,0.34513,0.01825,0.01229,0.166,-0.16324,0.98499,-0.05604
8.987,0.35136,0.01925,0.01245,0.16588,-0.16324,0.98499,-0.05604
9.038,0.35759,0.02028,0.01261,0.16574,-0.16324,0.98499,-0.05604
9.089,0.36383,0.02128,0.01277,0.16561,-0.16324,0.98499,-0.05604
9.14,0.37006,0.0223,0.01293,0.16546,-0.16324,0.98499,-0.05604
9.191,0.37629,0.02332,0.01309,0.16531,-0.16325,0.98499,-0.05604
9.242,0.38252,0.02432,0.01325,0.16515,-0.16325,0.98499,-0.05604
9.293,0.38875,0.02532,0.0134,0.16499,-0.16325,0.98499,-0.05604
9.344,0.39498,0.02633,0.01356,0.16481,-0.16325,0.98499,-0.05604
9.395,0.40121,0.02733,0.01372,0.16464,-0.16325,0.98499,-0.05604
9.446,0.40744,0.02834,0.01388,0.16445,-0.16325,0.98499,-0.05604
9.497,0.41368,0.02934,0.01403,0.16427,-0.16325,0.98499,-0.05604
9.548,0.41991,0.03035,0.01419,0.16407,-0.16325,0.98499,-0.05604
9.599,0.42614,0.03134,0.01434,0.16387,-0.16326,0.98499,-0.05604
9.65,0.43237,0.03235,0.0145,0.16366,-0.16326,0.98499,-0.05603
9.701,0.4386,0.03334,0.01465,0.16345,-0.16326,0.98499,-0.05603
9.752,0.44483,0.03435,0.0148,0.16322,-0.16326,0.98499,-0.05603
9.803,0.45106,0.03536,0.01496,0.163,-0.16326,0.98499,-0.05603
9.854,0.45729,0.03636,0.01511,0.16276,-0.16326,0.98499,-0.05603
9.905,0.46352,0.03735,0.01526,0.16252,-0.16326,0.98499,-0.05603
9.956,0.46976,0.03835,0.01541,0.16227,-0.16327,0.98499,-0.05603
10.007,0.47599,0.03935,0.01556,0.16202,-0.16327,0.98499,-0.05603
10.058,0.48222,0.04035,0.01571,0.16176,-0.16327,0.98499,-0.05603
10.109,0.48845,0.04135,0.01586,0.16149,-0.16327,0.98499,-0.05603
10.16,0.49468,0.04232,0.01601,0.16123,-0.16327,0.98499,-0.05603
10.211,0.50091,0.04332,0.01616,0.16095,-0.16327,0.98499,-0.05603
10.262,0.50714,0.04431,0.01631,0.16066,-0.16327,0.98499,-0.05603
10.313,0.51337,0.04528,0.01645,0.16037,-0.16328,0.98499,-0.05603
10.364,0.5196,0.04627,0.0166,0.16008,-0.16328,0.98499,-0.05603
10.415,0.52584,0.04724,0.01674,0.15978,-0.16328,0.98499,-0.05603
10.466,0.53207,0.04823,0.01689,0.15947,-0.16328,0.98499,-0.05603
10.517,0.5383,0.04919,0.01703,0.15916,-0.16328,0.98499,-0.05602
10.568,0.54453,0.05017,0.01717,0.15884,-0.16328,0.98499,-0.05602
