timestamp,joint_6,spherical_wrist_2_link.x,spherical_wrist_2_link.y,spherical_wrist_2_link.z,spherical_wrist_2_link.x_hat,spherical_wrist_2_link.y_hat,spherical_wrist_2_link.z_hat
4.411,-0.00013,0.00018,-0.00018,0.16745,-0.00014,1.0,1e-05
4.462,0.00117,0.00074,-0.00018,0.16745,-0.00014,1.0,1e-05
4.514,0.00469,0.00166,-0.00018,0.16745,-0.00014,1.0,1e-05
4.564,0.01031,0.00271,-0.00018,0.16743,-0.00014,1.0,1e-05
4.615,0.0166,0.00373,-0.00018,0.16741,-0.00014,1.0,1e-05
4.666,0.02283,0.00477,-0.00018,0.16739,-0.00013,1.0,1e-05
4.717,0.02906,0.00582,-0.00018,0.16735,-0.00013,1.0,1e-05
4.768,0.03529,0.00684,-0.00018,0.16732,-0.00013,1.0,1e-05
4.819,0.04152,0.00786,-0.00018,0.16727,-0.00013,1.0,1e-05
4.87,0.04775,0.00888,-0.00018,0.16722,-0.00013,1.0,1e-05
4.921,0.05398,0.0099,-0.00018,0.16716,-0.00013,1.0,1e-05
4.972,0.06021,0.01095,-0.00018,0.1671,-0.00013,1.0,1e-05
5.023,0.06645,0.01197,-0.00018,0.16703,-0.00012,1.0,1e-05
5.074,0.07268,0.01301,-0.00018,0.16695,-0.00012,1.0,1e-05
5.126,0.07891,0.01405,-0.00017,0.16686,-0.00012,1.0,1e-05
5.176,0.08514,0.01507,-0.00017,0.16678,-0.00012,1.0,1e-05
5.228,0.09137,0.0161,-0.00017,0.16668,-0.00012,1.0,1e-05
5.278,0.0976,0.01712,-0.00017,0.16658,-0.00012,1.0,1e-05
5.329,0.10383,0.01816,-0.00017,0.16647,-0.00012,1.0,1e-05
5.38,0.11006,0.0192,-0.00017,0.16635,-0.00011,1.0,1e-05
5.431,0.11629,0.02021,-0.00017,0.16623,-0.00011,1.0,1e-05
5.482,0.12253,0.02125,-0.00017,0.1661,-0.00011,1.0,1e-05
5.533,0.12876,0.02226,-0.00017,0.16597,-0.00011,1.0,1e-05
5.584,0.13499,0.02328,-0.00017,0.16583,-0.00011,1.0,1e-05
5.635,0.14122,0.02431,-0.00017,0.16568,-0.00011,1.0,1e-05
5.686,0.14745,0.02532,-0.00017,0.16553,-0.00011,1.0,1e-05
5.737,0.15368,0.02635,-0.00017,0.16537,-0.00011,1.0,1e-05
5.788,0.15991,0.02736,-0.00017,0.1652,-0.0001,1.0,1e-05
5.839,0.16614,0.02839,-0.00017,0.16503,-0.0001,1.0,1e-05
5.89,0.17237,0.0294,-0.00017,0.16485,-0.0001,1.0,1e-05
5.941,0.17861,0.0304,-0.00017,0.16467,-0.0001,1.0,1e-05
5.992,0.18484,0.03141,-0.00017,0.16448,-0.0001,1.0,1e-05
6.043,0.19107,0.03243,-0.00017,0.16428,-0.0001,1.0,1e-05
6.094,0.1973,0.03346,-0.00017,0.16408,-0.0001,1.0,1e-05
6.145,0.20353,0.03448,-0.00017,0.16387,-9e-05,1.0,1e-05
6.196,0.20976,0.0355,-0.00017,0.16365,-9e-05,1.0,1e-05
6.247,0.21599,0.0365,-0.00017,0.16343,-9e-05,1.0,1e-05
6.298,0.22222,0.03751,-0.00017,0.1632,-9e-05,1.0,1e-05
6.349,0.22846,0.03851,-0.00017,0.16297,-9e-05,1.0,1e-05
6.4,0.23469,0.03951,-0.00017,0.16273,-9e-05,1.0,1e-05
6.451,0.24092,0.04052,-0.00017,0.16248,-9e-05,1.0,1e-05
6.502,0.24715,0.04151,-0.00017,0.16223,-9e-05,1.0,1e-05
6.553,0.25338,0.04252,-0.00017,0.16197,-8e-05,1.0,1e-05
6.604,0.25961,0.04351,-0.00017,0.1617,-8e-05,1.0,1e-05
6.655,0.26584,0.04452,-0.00017,0.16143,-8e-05,1.0,1e-05
6.706,0.27207,0.0455,-0.00017,0.16115,-8e-05,1.0,1e-05
6.757,0.2783,0.04648,-0.00017,0.16087,-8e-05,1.0,1e-05
6.808,0.28454,0.04747,-0.00017,0.16059,-8e-05,1.0,1e-05
6.859,0.29077,0.04845,-0.00017,0.16029,-8e-05,1.0,1e-05
6.91,0.297,0.04944,-0.00017,0.15999,-8e-05,1.0,1e-05
6.961,0.30323,0.05042,-0.00017,0.15968,-7e-05,1.0,1e-05
7.012,0.30946,0.0514,-0.00017,0.15937,-7e-05,1.0,1e-05
7.063,0.31569,0.05239,-0.00017,0.15905,-7e-05,1.0,1e-05
7.114,0.32192,0.05338,-0.00017,0.15872,-7e-05,1.0,1e-05
7.165,0.32816,0.05437,-0.00017,0.15838,-7e-05,1.0,1e-05
7.216,0.33439,0.05533,-0.00017,0.15805,-7e-05,1.0,1e-05
7.267,0.34062,0.05632,-0.00017,0.1577,-7e-05,1.0,1e-05
7.318,0.34685,0.05728,-0.00017,0.15735,-6e-05,1.0,1e-05
7.369,0.35308,0.05824,-0.00017,0.157,-6e-05,1.0,1e-05
7.42,0.35931,0.05921,-0.00017,0.15664,-6e-05,1.0,1e-05
7.471,0.36554,0.06017,-0.00017,0.15627,-6e-05,1.0,1e-05
7.522,0.37177,0.06114,-0.00017,0.15589,-6e-05,1.0,1e-05
7.573,0.378,0.06209,-0.00017,0.15552,-6e-05,1.0,1e-05
7.624,0.38423,0.06306,-0.00017,0.15513,-6e-05,1.0,1e-05
7.675,0.39047,0.06401,-0.00017,0.15474,-6e-05,1.0,1e-05
7.726,0.39663,0.06493,-0.00017,0.15436,-5e-05,1.0,1e-05
7.777,0.40105,0.0655,-0.00017,0.15411,-5e-05,1.0,1e-05
7.828,0.40318,0.06574,-0.00017,0.15401,-5e-05,1.0,1e-05
7.879,0.40343,0.06574,-0.00017,0.15401,-5e-05,1.0,1e-05
