timestamp,joint_7,bracelet_link.x,bracelet_link.y,bracelet_link.z,bracelet_link.x_hat,bracelet_link.y_hat,bracelet_link.z_hat
77.124,-1.06748,-0.02364,0.04084,0.03948,0.38422,-0.66375,-0.64172
77.176,-1.06618,-0.02364,0.04084,0.03948,0.38422,-0.66375,-0.64172
77.227,-1.06266,-0.02364,0.04084,0.03948,0.38422,-0.66375,-0.64172
77.278,-1.05704,-0.02364,0.04084,0.03948,0.38422,-0.66375,-0.64172
77.329,-1.05076,-0.02364,0.04084,0.03948,0.38422,-0.66375,-0.64172
77.38,-1.04453,-0.02364,0.04084,0.03948,0.38422,-0.66375,-0.64172
77.431,-1.0383,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64172
77.482,-1.03206,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64172
77.533,-1.02583,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64172
77.584,-1.0196,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64172
77.635,-1.01337,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64172
77.686,-1.00714,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64172
77.737,-1.00091,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64172
77.788,-0.99468,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64172
77.839,-0.98844,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64172
77.89,-0.98221,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64171
77.94,-0.97599,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64171
77.991,-0.96975,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64171
78.042,-0.96352,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64171
78.094,-0.95729,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64171
78.145,-0.95106,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64171
78.195,-0.94483,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64171
78.247,-0.9386,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64171
78.297,-0.93237,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64171
78.349,-0.92613,-0.02364,0.04084,0.03948,0.38422,-0.66376,-0.64171
