timestamp,joint_1,shoulder_link.x,shoulder_link.y,shoulder_link.z,shoulder_link.x_hat,shoulder_link.y_hat,shoulder_link.z_hat
39.428,-0.34857,-0.50401,-0.3451,0.58599,-0.0,1e-05,-1.0
39.479,-0.35569,-0.50154,-0.34868,0.58599,-0.0,1e-05,-1.0
39.53,-0.36281,-0.49905,-0.35224,0.58599,-0.0,1e-05,-1.0
39.581,-0.36993,-0.49653,-0.35578,0.58599,-0.0,1e-05,-1.0
39.632,-0.37705,-0.49398,-0.35931,0.58599,-0.0,1e-05,-1.0
39.683,-0.38417,-0.49146,-0.36275,0.58599,-0.0,1e-05,-1.0
39.734,-0.39129,-0.48887,-0.36624,0.58599,-0.0,1e-05,-1.0
39.785,-0.39841,-0.48624,-0.36971,0.58599,-0.0,1e-05,-1.0
39.836,-0.40553,-0.4836,-0.37317,0.58599,-0.0,1e-05,-1.0
39.887,-0.41266,-0.48093,-0.3766,0.58599,-0.0,1e-05,-1.0
39.938,-0.41977,-0.47824,-0.38002,0.58599,-0.0,1e-05,-1.0
39.989,-0.4269,-0.47552,-0.38341,0.58599,-0.0,1e-05,-1.0
40.04,-0.43402,-0.47277,-0.38679,0.58599,-0.0,1e-05,-1.0
40.091,-0.44114,-0.47001,-0.39015,0.58599,-0.0,1e-05,-1.0
40.142,-0.44826,-0.46722,-0.39348,0.58599,-0.0,1e-05,-1.0
40.193,-0.45538,-0.4644,-0.3968,0.58598,-0.0,1e-05,-1.0
40.244,-0.4625,-0.46157,-0.4001,0.58598,-0.0,1e-05,-1.0
40.295,-0.46962,-0.45871,-0.40338,0.58598,-0.0,1e-05,-1.0
40.346,-0.47674,-0.45588,-0.40657,0.58598,-0.0,1e-05,-1.0
40.397,-0.48386,-0.45297,-0.4098,0.58598,-0.0,1e-05,-1.0
40.448,-0.49098,-0.4501,-0.41296,0.58598,-0.0,1e-05,-1.0
40.499,-0.4981,-0.44715,-0.41615,0.58598,-0.0,1e-05,-1.0
40.55,-0.50523,-0.44418,-0.41932,0.58598,-0.0,1e-05,-1.0
40.601,-0.51235,-0.44123,-0.42242,0.58598,-0.0,1e-05,-1.0
40.652,-0.51947,-0.43822,-0.42555,0.58598,-0.0,1e-05,-1.0
40.703,-0.52659,-0.43517,-0.42866,0.58598,-0.0,1e-05,-1.0
40.754,-0.53371,-0.43217,-0.43169,0.58598,-0.0,1e-05,-1.0
40.805,-0.54083,-0.42909,-0.43475,0.58598,-0.0,1e-05,-1.0
40.856,-0.54796,-0.42604,-0.43774,0.58598,-0.0,1e-05,-1.0
40.907,-0.55508,-0.42291,-0.44076,0.58598,-0.0,1e-05,-1.0
40.958,-0.5622,-0.41976,-0.44376,0.58598,-0.0,1e-05,-1.0
41.009,-0.56932,-0.41659,-0.44674,0.58598,-0.0,1e-05,-1.0
41.06,-0.57644,-0.4134,-0.44969,0.58598,-0.0,1e-05,-1.0
41.111,-0.58356,-0.41019,-0.45263,0.58598,-0.0,1e-05,-1.0
41.162,-0.59068,-0.40702,-0.45548,0.58598,-0.0,1e-05,-1.0
41.213,-0.5978,-0.40383,-0.45831,0.58598,-0.0,1e-05,-1.0
41.264,-0.60493,-0.40055,-0.46118,0.58598,-0.0,1e-05,-1.0
41.315,-0.61205,-0.39733,-0.46396,0.58598,-0.0,1e-05,-1.0
41.366,-0.61917,-0.39408,-0.46673,0.58598,-0.0,1e-05,-1.0
41.417,-0.62629,-0.39081,-0.46947,0.58598,-0.0,1e-05,-1.0
41.468,-0.63341,-0.38746,-0.47224,0.58598,-0.0,1e-05,-1.0
41.519,-0.64053,-0.38415,-0.47493,0.58598,-0.0,1e-05,-1.0
41.57,-0.64765,-0.38076,-0.47765,0.58598,-0.0,1e-05,-1.0
41.621,-0.65477,-0.37735,-0.48035,0.58598,-0.0,1e-05,-1.0
41.672,-0.6619,-0.37392,-0.48303,0.58598,-0.0,1e-05,-1.0
41.723,-0.66902,-0.37047,-0.48568,0.58598,-0.0,1e-05,-1.0
41.774,-0.67614,-0.367,-0.48831,0.58598,-0.0,1e-05,-1.0
41.825,-0.68326,-0.36358,-0.49086,0.58598,-0.0,1e-05,-1.0
41.876,-0.69038,-0.36008,-0.49343,0.58598,-0.0,1e-05,-1.0
41.927,-0.6975,-0.35662,-0.49594,0.58598,-0.0,1e-05,-1.0
41.978,-0.70462,-0.35308,-0.49846,0.58598,-0.0,1e-05,-1.0
42.029,-0.71174,-0.34959,-0.50092,0.58598,-0.0,1e-05,-1.0
42.08,-0.71886,-0.34609,-0.50334,0.58598,-0.0,1e-05,-1.0
42.131,-0.72597,-0.34252,-0.50578,0.58598,-0.0,1e-05,-1.0
42.182,-0.73233,-0.3395,-0.50781,0.58598,-0.0,1e-05,-1.0
42.233,-0.7365,-0.33757,-0.5091,0.58598,-0.0,1e-05,-1.0
42.284,-0.73843,-0.33677,-0.50963,0.58598,-0.0,1e-05,-1.0
42.335,-0.73857,-0.33674,-0.50965,0.58598,-0.0,1e-05,-1.0
