timestamp,joint_1,shoulder_link.x,shoulder_link.y,shoulder_link.z,shoulder_link.x_hat,shoulder_link.y_hat,shoulder_link.z_hat,d_joint_1__dt,d_shoulder_link.x__dt,d_shoulder_link.y__dt,d_shoulder_link.z__dt
39.587,0.00133,-0.64036,-0.1734,0.5542,-0.0,1e-05,-1.0,0.02568627450980295,-0.0049019607843151765,0.01843137254901884,0.0
39.638,0.00485,-0.64099,-0.17109,0.5542,-0.0,1e-05,-1.0,0.06901960784314426,-0.012352941176470046,0.04529411764706354,0.0
39.689,0.01068,-0.64199,-0.16728,0.5542,-0.0,1e-05,-1.0,0.11431372549019175,-0.019607843137254177,0.07470588235293796,0.0
39.74,0.01772,-0.64313,-0.16282,0.5542,-0.0,1e-05,-1.0,0.13803921568626926,-0.022352941176470326,0.08745098039215393,0.0
39.791,0.02484,-0.64426,-0.15833,0.5542,-0.0,1e-05,-1.0,0.1396078431372691,-0.022156862745101764,0.08803921568628333,0.0
39.842,0.03197,-0.64535,-0.15383,0.5542,-0.0,1e-05,-1.0,0.1398039215686221,-0.02137254901960555,0.08823529411764379,0.0
39.893,0.03909,-0.64745,-0.14471,0.5542,-0.0,1e-05,-1.0,0.13960784313724964,-0.04117647058823355,0.17882352941175772,0.0
39.944,0.04621,-0.64844,-0.14019,0.5542,-0.0,1e-05,-1.0,0.13960784313724964,-0.019411764705882528,0.08862745098038873,0.0
39.995,0.05333,-0.64943,-0.13557,0.55421,-0.0,1e-05,-1.0,0.1396078431372691,-0.019411764705883055,0.09058823529412709,0.00019607843137167655
40.046,0.06045,-0.65036,-0.13103,0.55421,-0.0,1e-05,-1.0,0.1396078431372495,-0.01823529411764828,0.08901960784313366,0.0
40.097,0.06757,-0.65125,-0.12648,0.55421,-0.0,1e-05,-1.0,0.13960784313724978,-0.01745098039215515,0.08921568627450639,0.0
40.148,0.0747,-0.65214,-0.12185,0.55421,-0.0,1e-05,-1.0,0.1398039215686221,-0.01745098039215733,0.09078431372548694,0.0
40.199,0.08182,-0.65297,-0.11729,0.55421,-0.0,1e-05,-1.0,0.1396078431372691,-0.016274509803923167,0.08941176470589132,0.0
40.25,0.08894,-0.65378,-0.11273,0.55421,-0.0,1e-05,-1.0,0.13960784313724964,-0.015882352941175425,0.08941176470587914,0.0
40.301,0.09605,-0.65456,-0.10807,0.55421,-0.0,1e-05,-1.0,0.1394117647058769,-0.0152941176470583,0.09137254901960433,0.0
40.352,0.10318,-0.6553,-0.1035,0.55421,-0.0,1e-05,-1.0,0.13980392156864158,-0.014509803921569371,0.08960784313726408,0.0
40.403,0.1103,-0.65602,-0.09883,0.55421,-0.0,1e-05,-1.0,0.13960784313724964,-0.014117647058824052,0.0915686274509768,0.0
40.454,0.11742,-0.65669,-0.09425,0.55421,-0.0,1e-05,-1.0,0.13960784313724964,-0.013137254901959276,0.08980392156862406,0.0
40.505,0.12454,-0.65735,-0.08957,0.55421,-0.0,1e-05,-1.0,0.13960784313724964,-0.012941176470587627,0.09176470588234953,0.0
40.556,0.13166,-0.65796,-0.08498,0.55421,-0.0,1e-05,-1.0,0.1396078431372691,-0.011960784313726693,0.09000000000000907,0.0
40.607,0.13878,-0.65855,-0.08029,0.55421,-0.0,1e-05,-1.0,0.13960784313724936,-0.01156862745097955,0.091960784313722,0.0
40.658,0.1459,-0.65909,-0.07569,0.55421,-0.0,1e-05,-1.0,0.13960784313724992,-0.010588235294116951,0.09019607843136926,0.0
40.709,0.15303,-0.65961,-0.071,0.55421,-0.0,1e-05,-1.0,0.1398039215686221,-0.010196078431373651,0.091960784313722,0.0
40.76,0.16015,-0.66009,-0.06639,0.55421,-0.0,1e-05,-1.0,0.13960784313726882,-0.009411764705881835,0.09039215686275405,0.0
40.811,0.16727,-0.66054,-0.06178,0.55421,-0.0,1e-05,-1.0,0.13960784313724992,-0.008823529411765577,0.09039215686274173,0.0
40.862,0.17439,-0.66096,-0.05707,0.55421,-0.0,1e-05,-1.0,0.13960784313724936,-0.008235294117646275,0.09235294117646707,0.0
40.913,0.18151,-0.66134,-0.05246,0.55421,-0.0,1e-05,-1.0,0.13960784313726937,-0.007450980392158539,0.09039215686275433,0.0
40.964,0.18863,-0.66169,-0.04784,0.55421,-0.0,1e-05,-1.0,0.13960784313724936,-0.0068627450980382,0.0905882352941142,0.0
41.015,0.19575,-0.66202,-0.04313,0.55422,-0.0,1e-05,-1.0,0.13960784313724992,-0.006470588235294901,0.09235294117646707,0.00019607843137382615
41.066,0.20287,-0.6623,-0.03851,0.55422,-0.0,1e-05,-1.0,0.13960784313724936,-0.0054901960784301245,0.0905882352941142,0.0
41.117,0.21,-0.66256,-0.03379,0.55422,-0.0,1e-05,-1.0,0.13980392156864158,-0.005098039215687536,0.09254901960785256,0.0
41.168,0.21712,-0.66278,-0.02907,0.55422,-0.0,1e-05,-1.0,0.13960784313724992,-0.004313725490195875,0.09254901960783966,0.0
41.219,0.22424,-0.66297,-0.02444,0.55422,-0.0,1e-05,-1.0,0.13960784313724936,-0.003725490196076574,0.09078431372548673,0.0
41.27,0.23136,-0.66313,-0.01972,0.55422,-0.0,1e-05,-1.0,0.13960784313724992,-0.003137254901961626,0.0925490196078396,0.0
41.321,0.23848,-0.66325,-0.01509,0.55422,-0.0,1e-05,-1.0,0.13960784313726882,-0.002352941176471003,0.09078431372549944,0.0
41.372,0.2456,-0.66334,-0.01046,0.55422,-0.0,1e-05,-1.0,0.13960784313724992,-0.0017647058823535508,0.09078431372548673,0.0
41.423,0.25272,-0.66339,-0.00574,0.55422,-0.0,1e-05,-1.0,0.13960784313724936,-0.0009803921568626,0.09254901960783964,0.0
41.474,0.25984,-0.66342,-0.00101,0.55422,-0.0,1e-05,-1.0,0.13960784313726937,-0.0005882352941172066,0.0927450980392251,0.0
41.525,0.26696,-0.66341,0.00362,0.55422,-0.0,1e-05,-1.0,0.13960784313724883,0.00019607843137164923,0.09078431372548676,0.0
41.576,0.27409,-0.66337,0.00825,0.55422,-0.0,1e-05,-1.0,0.13980392156862265,0.0007843137254909508,0.09078431372548676,0.0
41.627,0.28121,-0.66329,0.01297,0.55422,-0.0,1e-05,-1.0,0.13960784313724992,0.0015686274509797247,0.09254901960783964,0.0
41.678,0.28833,-0.66318,0.0177,0.55422,-0.0,1e-05,-1.0,0.13960784313726826,0.0021568627450993267,0.0927450980392251,0.0
41.729,0.29545,-0.66304,0.02233,0.55422,-0.0,1e-05,-1.0,0.13960784313724992,0.002745098039216151,0.09078431372548673,0.0
41.78,0.30257,-0.66286,0.02705,0.55422,-0.0,1e-05,-1.0,0.13960784313724992,0.0035294117647049245,0.09254901960783966,0.0
41.831,0.30969,-0.66266,0.03167,0.55422,-0.0,1e-05,-1.0,0.13960784313724992,0.0039215686274504,0.09058823529411413,0.0
41.882,0.31681,-0.66242,0.03639,0.55422,-0.0,1e-05,-1.0,0.13960784313726826,0.004705882352942006,0.09254901960785256,0.0
