timestamp,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,shoulder_link.x,shoulder_link.y,shoulder_link.z,half_arm_1_link.x,half_arm_1_link.y,half_arm_1_link.z,half_arm_2_link.x,half_arm_2_link.y,half_arm_2_link.z,forearm_link.x,forearm_link.y,forearm_link.z,spherical_wrist_1_link.x,spherical_wrist_1_link.y,spherical_wrist_1_link.z,spherical_wrist_2_link.x,spherical_wrist_2_link.y,spherical_wrist_2_link.z
0.001,-0.005,-0.414,0.902,-0.681,-1.422,0.138,-0.963,-0.484,0.227,0.786,-0.484,0.232,0.657,-0.400,0.239,0.465,-0.311,0.243,0.274,-0.166,0.145,0.161,-0.095,0.093,0.102
0.072,-0.005,-0.414,0.902,-0.681,-1.422,0.138,-0.962,-0.484,0.227,0.786,-0.484,0.232,0.657,-0.400,0.239,0.465,-0.311,0.243,0.274,-0.166,0.145,0.161,-0.095,0.093,0.102
0.093,-0.005,-0.414,0.902,-0.681,-1.422,0.138,-0.961,-0.484,0.227,0.786,-0.484,0.232,0.657,-0.400,0.239,0.465,-0.311,0.243,0.274,-0.166,0.145,0.161,-0.095,0.093,0.102
0.114,-0.005,-0.414,0.902,-0.681,-1.422,0.138,-0.960,-0.484,0.227,0.786,-0.484,0.232,0.657,-0.400,0.239,0.465,-0.311,0.243,0.274,-0.166,0.145,0.161,-0.095,0.093,0.102
0.135,-0.005,-0.414,0.902,-0.681,-1.422,0.138,-0.958,-0.484,0.227,0.786,-0.484,0.232,0.657,-0.400,0.239,0.465,-0.311,0.243,0.274,-0.166,0.145,0.161,-0.095,0.093,0.102
0.156,-0.005,-0.414,0.902,-0.681,-1.422,0.138,-0.956,-0.484,0.227,0.786,-0.484,0.232,0.657,-0.400,0.239,0.465,-0.311,0.243,0.274,-0.166,0.145,0.161,-0.095,0.093,0.102
0.177,-0.005,-0.414,0.902,-0.681,-1.422,0.138,-0.953,-0.484,0.227,0.786,-0.484,0.232,0.657,-0.400,0.239,0.465,-0.311,0.243,0.274,-0.166,0.145,0.161,-0.095,0.093,0.102
0.198,-0.005,-0.414,0.902,-0.681,-1.422,0.138,-0.951,-0.484,0.227,0.786,-0.484,0.232,0.657,-0.400,0.239,0.465,-0.311,0.243,0.274,-0.166,0.145,0.161,-0.095,0.093,0.102
0.219,-0.005,-0.414,0.902,-0.681,-1.422,0.138,-0.948,-0.484,0.227,0.786,-0.484,0.232,0.657,-0.400,0.239,0.465,-0.311,0.243,0.274,-0.166,0.145,0.161,-0.095,0.093,0.102
0.240,-0.005,-0.414,0.902,-0.681,-1.422,0.138,-0.946,-0.484,0.227,0.786,-0.484,0.232,0.657,-0.400,0.239,0.465,-0.311,0.243,0.274,-0.166,0.145,0.161,-0.095,0.093,0.102
0.261,-0.005,-0.414,0.902,-0.681,-1.422,0.138,-0.943,-0.484,0.227,0.786,-0.484,0.232,0.657,-0.400,0.239,0.465,-0.311,0.243,0.274,-0.166,0.145,0.161,-0.095,0.093,0.102
0.282,-0.005,-0.414,0.902,-0.681,-1.422,0.138,-0.940,-0.484,0.227,0.786,-0.484,0.232,0.657,-0.400,0.239,0.465,-0.311,0.243,0.274,-0.166,0.145,0.161,-0.095,0.093,0.102
0.303,-0.005,-0.414,0.902,-0.681,-1.422,0.138,-0.938,-0.484,0.227,0.786,-0.484,0.232,0.657,-0.400,0.239,0.465,-0.311,0.243,0.274,-0.166,0.145,0.161,-0.095,0.093,0.102
0.324,-0.005,-0.414,0.902,-0.681,-1.422,0.138,-0.935,-0.484,0.227,0.786,-0.484,0.232,0.657,-0.400,0.239,0.465,-0.311,0.243,0.274,-0.166,0.145,0.161,-0.095,0.093,0.102
0.345,-0.005,-0.414,0.902,-0.681,-1.422,0.138,-0.933,-0.484,0.227,0.786,-0.484,0.232,0.657,-0.400,0.239,0.465,-0.311,0.243,0.274,-0.166,0.145,0.161,-0.095,0.093,0.102
