timestamp,joint_4,forearm_link.x,forearm_link.y,forearm_link.z,forearm_link.x_hat,forearm_link.y_hat,forearm_link.z_hat
62.525,-0.41602,-0.22677,0.24139,0.26171,0.55538,0.83106,-0.02997
62.576,-0.41472,-0.22645,0.24119,0.26217,0.55538,0.83106,-0.02997
62.627,-0.4112,-0.22562,0.24068,0.26335,0.55538,0.83106,-0.02997
62.678,-0.40537,-0.22427,0.23985,0.26525,0.55538,0.83106,-0.02997
62.729,-0.39832,-0.22269,0.23887,0.26746,0.55538,0.83106,-0.02997
62.78,-0.3912,-0.22108,0.23787,0.26967,0.55538,0.83106,-0.02997
62.831,-0.38408,-0.21943,0.23685,0.27192,0.55538,0.83106,-0.02997
62.882,-0.37696,-0.21776,0.23582,0.27414,0.55538,0.83105,-0.02997
62.933,-0.36984,-0.21446,0.23376,0.27847,0.55538,0.83105,-0.02997
62.984,-0.36271,-0.21275,0.2327,0.28066,0.55538,0.83105,-0.02997
63.035,-0.35559,-0.21107,0.23166,0.28279,0.55538,0.83105,-0.02997
63.086,-0.34847,-0.20937,0.2306,0.2849,0.55538,0.83105,-0.02997
63.137,-0.34135,-0.20767,0.22953,0.28701,0.55538,0.83105,-0.02997
63.188,-0.33423,-0.20591,0.22844,0.28914,0.55538,0.83105,-0.02997
63.239,-0.32711,-0.20418,0.22736,0.29121,0.55539,0.83105,-0.02997
63.29,-0.31999,-0.20244,0.22627,0.29327,0.55539,0.83105,-0.02997
63.341,-0.31286,-0.20065,0.22514,0.29535,0.55539,0.83105,-0.02997
63.392,-0.30574,-0.19884,0.22401,0.29743,0.55539,0.83105,-0.02997
63.443,-0.29862,-0.19703,0.22288,0.29948,0.55539,0.83105,-0.02997
63.494,-0.2915,-0.1952,0.22173,0.30152,0.55539,0.83105,-0.02997
63.545,-0.28438,-0.1934,0.2206,0.30351,0.55539,0.83105,-0.02997
63.596,-0.27726,-0.19155,0.21943,0.30552,0.55539,0.83105,-0.02997
63.647,-0.27014,-0.18973,0.21829,0.30747,0.55539,0.83105,-0.02997
63.698,-0.26302,-0.18786,0.21711,0.30945,0.55539,0.83105,-0.02997
63.749,-0.2559,-0.18601,0.21594,0.31137,0.55539,0.83105,-0.02997
63.8,-0.24877,-0.18411,0.21475,0.31332,0.55539,0.83105,-0.02996
63.851,-0.24165,-0.18225,0.21356,0.31522,0.55539,0.83105,-0.02996
63.902,-0.23453,-0.18033,0.21235,0.31713,0.55539,0.83105,-0.02996
63.953,-0.22741,-0.1784,0.21113,0.31903,0.55539,0.83105,-0.02996
64.004,-0.22029,-0.1765,0.20993,0.32087,0.55539,0.83105,-0.02996
64.055,-0.21317,-0.17455,0.20869,0.32274,0.55539,0.83105,-0.02996
64.106,-0.20605,-0.17263,0.20748,0.32456,0.55539,0.83105,-0.02996
64.157,-0.19893,-0.17066,0.20623,0.32639,0.55539,0.83105,-0.02996
64.208,-0.19181,-0.16872,0.20499,0.32817,0.55539,0.83105,-0.02996
64.259,-0.18469,-0.16673,0.20373,0.32997,0.55539,0.83105,-0.02996
64.31,-0.17757,-0.16472,0.20245,0.33176,0.55539,0.83105,-0.02996
64.361,-0.17044,-0.16275,0.2012,0.33349,0.55539,0.83105,-0.02996
64.412,-0.16332,-0.16073,0.19991,0.33524,0.55539,0.83105,-0.02996
64.463,-0.1562,-0.15874,0.19864,0.33694,0.55539,0.83105,-0.02996
64.514,-0.14908,-0.1567,0.19734,0.33866,0.55539,0.83105,-0.02996
64.565,-0.14196,-0.15464,0.19603,0.34036,0.55539,0.83105,-0.02996
64.616,-0.13484,-0.15258,0.19471,0.34204,0.5554,0.83105,-0.02996
64.667,-0.12772,-0.15055,0.19341,0.34367,0.5554,0.83105,-0.02996
64.718,-0.1206,-0.14847,0.19208,0.34532,0.5554,0.83105,-0.02996
64.769,-0.11347,-0.14642,0.19077,0.34692,0.5554,0.83105,-0.02996
64.82,-0.10635,-0.14433,0.18943,0.34853,0.5554,0.83105,-0.02996
64.871,-0.09923,-0.14222,0.18808,0.35012,0.5554,0.83105,-0.02996
64.922,-0.09211,-0.1401,0.18672,0.3517,0.5554,0.83105,-0.02996
64.973,-0.08499,-0.13798,0.18535,0.35326,0.5554,0.83105,-0.02996
65.024,-0.07787,-0.13584,0.18398,0.3548,0.5554,0.83104,-0.02996
65.075,-0.07075,-0.13374,0.18263,0.35629,0.5554,0.83104,-0.02996
65.126,-0.06363,-0.13163,0.18127,0.35777,0.5554,0.83104,-0.02996
65.177,-0.0565,-0.12951,0.17991,0.35923,0.5554,0.83104,-0.02996
65.228,-0.04938,-0.12738,0.17854,0.36067,0.5554,0.83104,-0.02996
65.279,-0.04226,-0.12521,0.17714,0.36212,0.5554,0.83104,-0.02996
65.33,-0.03514,-0.12302,0.17573,0.36355,0.5554,0.83104,-0.02996
65.381,-0.02802,-0.12083,0.17432,0.36496,0.5554,0.83104,-0.02996
65.432,-0.0209,-0.11867,0.17292,0.36633,0.5554,0.83104,-0.02996
65.483,-0.01378,-0.11646,0.1715,0.36771,0.5554,0.83104,-0.02996
65.534,-0.00666,-0.11429,0.17009,0.36904,0.5554,0.83104,-0.02996
65.585,0.00047,-0.11206,0.16865,0.37038,0.5554,0.83104,-0.02996
65.636,0.00758,-0.10988,0.16724,0.37168,0.5554,0.83104,-0.02996
65.687,0.01471,-0.10768,0.16582,0.37295,0.5554,0.83104,-0.02996
65.738,0.02183,-0.10543,0.16436,0.37424,0.5554,0.83104,-0.02996
65.789,0.02895,-0.10322,0.16293,0.37548,0.5554,0.83104,-0.02996
65.84,0.03607,-0.10097,0.16147,0.37672,0.5554,0.83104,-0.02996
65.891,0.04319,-0.0987,0.15999,0.37795,0.5554,0.83104,-0.02996
65.942,0.05031,-0.09642,0.15852,0.37916,0.5554,0.83104,-0.02995
65.993,0.05743,-0.09419,0.15706,0.38032,0.55541,0.83104,-0.02995
66.044,0.06455,-0.0919,0.15558,0.38149,0.55541,0.83104,-0.02995
66.095,0.07168,-0.08965,0.15412,0.38262,0.55541,0.83104,-0.02995
66.146,0.0788,-0.08735,0.15262,0.38375,0.55541,0.83104,-0.02995
66.197,0.08592,-0.08509,0.15115,0.38484,0.55541,0.83104,-0.02995
66.248,0.09304,-0.08277,0.14964,0.38593,0.55541,0.83104,-0.02995
66.299,0.10016,-0.0805,0.14816,0.38698,0.55541,0.83104,-0.02995
66.35,0.10728,-0.07818,0.14664,0.38803,0.55541,0.83104,-0.02995
66.401,0.1144,-0.07584,0.14512,0.38907,0.55541,0.83104,-0.02995
66.452,0.12153,-0.07355,0.14363,0.39006,0.55541,0.83104,-0.02995
66.503,0.12865,-0.07126,0.14213,0.39103,0.55541,0.83104,-0.02995
66.554,0.13577,-0.06891,0.14059,0.39201,0.55541,0.83104,-0.02995
66.605,0.14289,-0.06656,0.13906,0.39296,0.55541,0.83104,-0.02995
66.656,0.15001,-0.06424,0.13754,0.39388,0.55541,0.83104,-0.02995
66.707,0.15713,-0.06188,0.136,0.39479,0.55541,0.83104,-0.02995
66.758,0.16425,-0.05956,0.13448,0.39567,0.55541,0.83104,-0.02995
66.809,0.17137,-0.05719,0.13292,0.39654,0.55541,0.83104,-0.02995
66.86,0.17849,-0.05486,0.1314,0.39738,0.55541,0.83104,-0.02995
66.911,0.18561,-0.05252,0.12986,0.3982,0.55541,0.83104,-0.02995
66.962,0.19273,-0.05014,0.1283,0.39901,0.55541,0.83104,-0.02995
67.013,0.19985,-0.04774,0.12673,0.39981,0.55541,0.83104,-0.02995
67.064,0.20698,-0.04535,0.12516,0.40058,0.55541,0.83104,-0.02995
67.115,0.2141,-0.04295,0.12358,0.40133,0.55541,0.83104,-0.02995
67.166,0.22122,-0.04055,0.122,0.40207,0.55541,0.83103,-0.02995
