timestamp,joint_2,half_arm_1_link.x,half_arm_1_link.y,half_arm_1_link.z,half_arm_1_link.x_hat,half_arm_1_link.y_hat,half_arm_1_link.z_hat
32.752,-0.02704,-0.2291,0.37199,0.62433,0.02164,0.99977,1e-05
32.803,-0.02574,-0.22704,0.37195,0.62511,0.02164,0.99977,1e-05
32.854,-0.02222,-0.22353,0.37187,0.62642,0.02164,0.99977,1e-05
32.905,-0.0164,-0.21922,0.37178,0.62799,0.02164,0.99977,1e-05
32.956,-0.00934,-0.21483,0.37168,0.62956,0.02163,0.99977,1e-05
33.007,-0.00222,-0.21034,0.37159,0.63114,0.02163,0.99977,1e-05
33.058,0.0049,-0.20593,0.37149,0.63265,0.02163,0.99977,1e-05
33.109,0.01202,-0.20143,0.37139,0.63415,0.02163,0.99977,1e-05
33.16,0.01914,-0.1969,0.37129,0.63563,0.02163,0.99977,1e-05
33.211,0.02626,-0.19237,0.3712,0.63707,0.02163,0.99977,1e-05
33.262,0.03338,-0.18792,0.3711,0.63846,0.02163,0.99977,1e-05
33.313,0.0405,-0.18346,0.371,0.63981,0.02163,0.99977,1e-05
33.364,0.04764,-0.1789,0.3709,0.64116,0.02162,0.99977,1e-05
33.415,0.05474,-0.17433,0.37081,0.64247,0.02162,0.99977,1e-05
33.466,0.06186,-0.16975,0.37071,0.64375,0.02162,0.99977,1e-05
33.517,0.06898,-0.16517,0.37061,0.645,0.02162,0.99977,1e-05
33.568,0.07611,-0.16066,0.37051,0.6462,0.02162,0.99977,1e-05
33.619,0.08323,-0.15605,0.37041,0.64738,0.02162,0.99977,1e-05
33.67,0.09035,-0.15144,0.37031,0.64853,0.02162,0.99977,1e-05
33.721,0.09747,-0.14682,0.37021,0.64965,0.02162,0.99977,1e-05
33.772,0.10459,-0.14228,0.37011,0.65072,0.02161,0.99977,1e-05
33.823,0.11171,-0.13765,0.37001,0.65177,0.02161,0.99977,1e-05
33.874,0.11883,-0.13309,0.36991,0.65277,0.02161,0.99977,1e-05
33.925,0.12596,-0.12844,0.36981,0.65376,0.02161,0.99977,1e-05
33.976,0.13308,-0.12378,0.36971,0.65472,0.02161,0.99977,1e-05
34.027,0.1402,-0.11921,0.36961,0.65562,0.02161,0.99977,1e-05
34.078,0.14732,-0.11463,0.36951,0.65649,0.02161,0.99977,1e-05
34.129,0.15444,-0.11005,0.36941,0.65733,0.0216,0.99977,1e-05
34.18,0.16156,-0.10534,0.36931,0.65816,0.0216,0.99977,1e-05
34.231,0.16868,-0.10076,0.36921,0.65893,0.0216,0.99977,1e-05
34.282,0.17581,-0.09616,0.36911,0.65968,0.0216,0.99977,1e-05
34.333,0.18292,-0.09146,0.36901,0.6604,0.0216,0.99977,1e-05
34.384,0.19005,-0.08676,0.36891,0.66109,0.0216,0.99977,1e-05
34.435,0.19717,-0.08214,0.36881,0.66174,0.0216,0.99977,1e-05
34.486,0.20429,-0.07752,0.36871,0.66235,0.0216,0.99977,1e-05
34.537,0.21141,-0.0728,0.36861,0.66294,0.02159,0.99977,1e-05
34.588,0.21853,-0.06817,0.36851,0.66349,0.02159,0.99977,1e-05
34.639,0.22565,-0.06354,0.36841,0.66401,0.02159,0.99977,1e-05
34.69,0.23277,-0.05881,0.36831,0.6645,0.02159,0.99977,1e-05
34.741,0.23989,-0.05417,0.36821,0.66495,0.02159,0.99977,1e-05
34.792,0.24701,-0.04944,0.3681,0.66538,0.02159,0.99977,1e-05
34.843,0.25414,-0.0447,0.368,0.66577,0.02159,0.99977,1e-05
34.894,0.26126,-0.04005,0.3679,0.66612,0.02159,0.99977,1e-05
34.945,0.26838,-0.0354,0.3678,0.66644,0.02158,0.99977,1e-05
34.996,0.2755,-0.03065,0.3677,0.66673,0.02158,0.99977,1e-05
35.047,0.28262,-0.026,0.3676,0.66698,0.02158,0.99977,1e-05
35.098,0.28974,-0.02125,0.36749,0.66721,0.02158,0.99977,1e-05
35.149,0.29686,-0.01659,0.36739,0.6674,0.02158,0.99977,1e-05
35.2,0.30398,-0.01184,0.36729,0.66755,0.02158,0.99977,1e-05
35.251,0.3111,-0.00718,0.36719,0.66768,0.02158,0.99977,1e-05
35.302,0.31823,-0.00252,0.36709,0.66777,0.02158,0.99977,1e-05
35.353,0.32535,0.00224,0.36699,0.66782,0.02157,0.99977,1e-05
35.404,0.33247,0.00699,0.36688,0.66785,0.02157,0.99977,1e-05
35.455,0.33959,0.01165,0.36678,0.66784,0.02157,0.99977,1e-05
35.506,0.34671,0.01632,0.36668,0.6678,0.02157,0.99977,1e-05
35.557,0.35383,0.02107,0.36658,0.66772,0.02157,0.99977,1e-05
35.608,0.36095,0.02573,0.36648,0.66761,0.02157,0.99977,1e-05
35.659,0.36808,0.03039,0.36638,0.66747,0.02157,0.99977,1e-05
35.71,0.3752,0.03514,0.36628,0.66729,0.02157,0.99977,1e-05
35.761,0.38232,0.0398,0.36618,0.66709,0.02156,0.99977,1e-05
35.812,0.38944,0.04455,0.36608,0.66684,0.02156,0.99977,1e-05
35.863,0.39656,0.0492,0.36598,0.66657,0.02156,0.99977,1e-05
35.914,0.40368,0.05394,0.36587,0.66626,0.02156,0.99977,1e-05
35.965,0.4108,0.05859,0.36577,0.66592,0.02156,0.99977,1e-05
36.016,0.41792,0.06333,0.36567,0.66555,0.02156,0.99977,1e-05
36.067,0.42505,0.0681,0.36557,0.66513,0.02156,0.99977,1e-05
36.118,0.43224,0.07269,0.36547,0.6647,0.02156,0.99977,1e-05
36.169,0.43834,0.07638,0.36539,0.66433,0.02155,0.99977,1e-05
36.22,0.44229,0.07857,0.36534,0.6641,0.02155,0.99977,1e-05
36.271,0.44399,0.07932,0.36533,0.66402,0.02155,0.99977,1e-05
36.322,0.44407,0.07932,0.36533,0.66402,0.02155,0.99977,1e-05
