timestamp,joint_2,half_arm_1_link.x,half_arm_1_link.y,half_arm_1_link.z,half_arm_1_link.x_hat,half_arm_1_link.y_hat,half_arm_1_link.z_hat
37.633,-0.0002,0.28612,-0.323,0.60048,-0.00013,1.0,1e-05
37.684,0.0011,0.28749,-0.323,0.59982,-0.00013,1.0,1e-05
37.735,0.00462,0.29023,-0.323,0.5985,-0.00013,1.0,1e-05
37.786,0.01045,0.2941,-0.323,0.59661,-0.00013,1.0,1e-05
37.837,0.01749,0.29826,-0.323,0.59454,-0.00013,1.0,1e-05
37.888,0.02461,0.30248,-0.323,0.59241,-0.00013,1.0,1e-05
37.939,0.03174,0.30661,-0.323,0.59028,-0.00013,1.0,1e-05
37.99,0.03886,0.31073,-0.323,0.58813,-0.00013,1.0,1e-05
38.041,0.04598,0.31482,-0.32299,0.58594,-0.00013,1.0,1e-05
38.092,0.0531,0.31891,-0.32299,0.58373,-0.00013,1.0,1e-05
38.143,0.06022,0.32306,-0.32299,0.58145,-0.00013,1.0,1e-05
38.194,0.06734,0.32719,-0.32299,0.57913,-0.00013,1.0,1e-05
38.245,0.07446,0.33131,-0.32299,0.57679,-0.00013,1.0,1e-05
38.296,0.08158,0.33541,-0.32299,0.57441,-0.00013,1.0,1e-05
38.347,0.0887,0.33949,-0.32299,0.57201,-0.00013,1.0,1e-05
38.398,0.09583,0.34347,-0.32299,0.56963,-0.00013,1.0,1e-05
38.449,0.10295,0.34752,-0.32299,0.56717,-0.00013,1.0,1e-05
38.5,0.11007,0.35147,-0.32299,0.56473,-0.00013,1.0,1e-05
38.551,0.11719,0.35548,-0.32298,0.56221,-0.00013,1.0,1e-05
38.602,0.12431,0.35948,-0.32298,0.55967,-0.00013,1.0,1e-05
38.653,0.13143,0.36338,-0.32298,0.55714,-0.00013,1.0,1e-05
38.704,0.13855,0.36726,-0.32298,0.55459,-0.00013,1.0,1e-05
38.755,0.14567,0.3712,-0.32298,0.55196,-0.00013,1.0,1e-05
38.806,0.15282,0.37505,-0.32298,0.54936,-0.00013,1.0,1e-05
38.857,0.15992,0.37895,-0.32298,0.54668,-0.00013,1.0,1e-05
38.908,0.16704,0.38276,-0.32298,0.54402,-0.00013,1.0,1e-05
38.959,0.17416,0.38662,-0.32298,0.54128,-0.00013,1.0,1e-05
39.01,0.18128,0.39046,-0.32298,0.53851,-0.00013,1.0,1e-05
39.061,0.1884,0.39429,-0.32297,0.53572,-0.00013,1.0,1e-05
39.112,0.19552,0.39809,-0.32297,0.5329,-0.00013,1.0,1e-05
39.163,0.20264,0.40188,-0.32297,0.53005,-0.00013,1.0,1e-05
39.214,0.20976,0.40557,-0.32297,0.52723,-0.00013,1.0,1e-05
39.265,0.21689,0.40924,-0.32297,0.52439,-0.00013,1.0,1e-05
39.316,0.22401,0.41297,-0.32297,0.52146,-0.00014,1.0,1e-05
39.367,0.23113,0.4166,-0.32297,0.51857,-0.00014,1.0,1e-05
39.418,0.23825,0.42028,-0.32297,0.51559,-0.00014,1.0,1e-05
39.469,0.24537,0.42394,-0.32297,0.51258,-0.00014,1.0,1e-05
39.52,0.25249,0.42751,-0.32297,0.50961,-0.00014,1.0,1e-05
39.571,0.25962,0.43113,-0.32297,0.50655,-0.00014,1.0,1e-05
39.622,0.26673,0.43466,-0.32296,0.50353,-0.00014,1.0,1e-05
39.673,0.27386,0.43823,-0.32296,0.50042,-0.00014,1.0,1e-05
39.724,0.28098,0.44178,-0.32296,0.49729,-0.00014,1.0,1e-05
39.775,0.2881,0.44524,-0.32296,0.49419,-0.00014,1.0,1e-05
39.826,0.29522,0.44875,-0.32296,0.49101,-0.00014,1.0,1e-05
39.877,0.30234,0.45217,-0.32296,0.48787,-0.00014,1.0,1e-05
39.928,0.30946,0.45563,-0.32296,0.48464,-0.00014,1.0,1e-05
39.979,0.31658,0.459,-0.32296,0.48144,-0.00014,1.0,1e-05
40.03,0.32371,0.46236,-0.32296,0.47823,-0.00014,1.0,1e-05
40.081,0.33083,0.46575,-0.32296,0.47492,-0.00014,1.0,1e-05
40.132,0.33795,0.46905,-0.32295,0.47166,-0.00014,1.0,1e-05
40.183,0.34507,0.47233,-0.32295,0.46838,-0.00014,1.0,1e-05
40.234,0.35219,0.47889,-0.32295,0.46167,-0.00014,1.0,1e-05
40.285,0.35931,0.48217,-0.32295,0.45825,-0.00014,1.0,1e-05
40.336,0.36643,0.48536,-0.32295,0.45487,-0.00014,1.0,1e-05
40.387,0.37355,0.48852,-0.32295,0.45147,-0.00014,1.0,1e-05
40.438,0.38067,0.49166,-0.32295,0.44805,-0.00014,1.0,1e-05
40.489,0.3878,0.49484,-0.32295,0.44454,-0.00014,1.0,1e-05
40.54,0.39491,0.49799,-0.32295,0.441,-0.00014,1.0,1e-05
40.591,0.40204,0.50112,-0.32295,0.43745,-0.00014,1.0,1e-05
40.642,0.40916,0.50416,-0.32294,0.43394,-0.00014,1.0,1e-05
40.693,0.41628,0.50724,-0.32294,0.43034,-0.00014,1.0,1e-05
40.744,0.4234,0.51023,-0.32294,0.42679,-0.00014,1.0,1e-05
40.795,0.43052,0.51326,-0.32294,0.42314,-0.00014,1.0,1e-05
40.846,0.43764,0.51626,-0.32294,0.41948,-0.00014,1.0,1e-05
40.897,0.44476,0.51918,-0.32294,0.41586,-0.00014,1.0,1e-05
40.948,0.45188,0.52213,-0.32294,0.41216,-0.00014,1.0,1e-05
40.999,0.459,0.52499,-0.32294,0.4085,-0.00015,1.0,1e-05
41.05,0.46613,0.52783,-0.32294,0.40483,-0.00015,1.0,1e-05
41.101,0.47325,0.5307,-0.32294,0.40106,-0.00015,1.0,1e-05
41.152,0.48036,0.53349,-0.32293,0.39734,-0.00015,1.0,1e-05
41.203,0.48749,0.53625,-0.32293,0.39361,-0.00015,1.0,1e-05
41.254,0.49461,0.53898,-0.32293,0.38986,-0.00015,1.0,1e-05
41.305,0.50173,0.54175,-0.32293,0.38601,-0.00015,1.0,1e-05
41.356,0.50885,0.54448,-0.32293,0.38214,-0.00015,1.0,1e-05
41.407,0.51598,0.54719,-0.32293,0.37826,-0.00015,1.0,1e-05
41.458,0.52309,0.54987,-0.32293,0.37435,-0.00015,1.0,1e-05
41.509,0.53022,0.55247,-0.32293,0.3705,-0.00015,1.0,1e-05
41.56,0.53738,0.55511,-0.32293,0.36654,-0.00015,1.0,1e-05
41.611,0.54436,0.55722,-0.32293,0.36332,-0.00015,1.0,1e-05
41.662,0.54961,0.55852,-0.32293,0.36132,-0.00015,1.0,1e-05
41.713,0.55267,0.55903,-0.32293,0.36053,-0.00015,1.0,1e-05
41.764,0.55349,0.55904,-0.32293,0.36052,-0.00015,1.0,1e-05
