timestamp,joint_2,half_arm_1_link.x,half_arm_1_link.y,half_arm_1_link.z,half_arm_1_link.x_hat,half_arm_1_link.y_hat,half_arm_1_link.z_hat
54.987,-1.00686,-0.3255,0.1067,0.66834,-0.15304,0.98822,1e-05
55.037,-1.00555,-0.32437,0.10688,0.66887,-0.15304,0.98822,1e-05
55.088,-1.00203,-0.32174,0.10728,0.67007,-0.15304,0.98822,1e-05
55.139,-0.9962,-0.31771,0.10791,0.67189,-0.15304,0.98822,1e-05
55.19,-0.98916,-0.31309,0.10862,0.67394,-0.15304,0.98822,1e-05
55.241,-0.98204,-0.30843,0.10934,0.67597,-0.15304,0.98822,1e-05
55.292,-0.97491,-0.30376,0.11007,0.67796,-0.15304,0.98822,1e-05
55.343,-0.96779,-0.29898,0.11081,0.67996,-0.15304,0.98822,1e-05
55.394,-0.96067,-0.29428,0.11154,0.68189,-0.15304,0.98822,1e-05
55.445,-0.95355,-0.28957,0.11227,0.68379,-0.15304,0.98822,1e-05
55.496,-0.94643,-0.28475,0.11301,0.68568,-0.15304,0.98822,1e-05
55.547,-0.93931,-0.27992,0.11376,0.68755,-0.15304,0.98822,1e-05
55.598,-0.93219,-0.27508,0.11451,0.68937,-0.15304,0.98822,1e-05
55.649,-0.92507,-0.27022,0.11526,0.69117,-0.15304,0.98822,1e-05
55.7,-0.91795,-0.26535,0.11602,0.69293,-0.15304,0.98822,1e-05
55.751,-0.91082,-0.26047,0.11677,0.69465,-0.15304,0.98822,1e-05
55.802,-0.9037,-0.25558,0.11753,0.69634,-0.15304,0.98822,1e-05
55.853,-0.89658,-0.25067,0.11829,0.69799,-0.15304,0.98822,1e-05
55.905,-0.88932,-0.24585,0.11904,0.69958,-0.15304,0.98822,1e-05
55.956,-0.8822,-0.24092,0.1198,0.70116,-0.15304,0.98822,1e-05
56.007,-0.87508,-0.23608,0.12055,0.70267,-0.15304,0.98822,1e-05
56.058,-0.86796,-0.23113,0.12132,0.70419,-0.15304,0.98822,1e-05
56.109,-0.86084,-0.22139,0.12283,0.70705,-0.15304,0.98822,1e-05
56.16,-0.85372,-0.21651,0.12358,0.70843,-0.15304,0.98822,1e-05
56.211,-0.84659,-0.21152,0.12436,0.7098,-0.15304,0.98822,1e-05
56.262,-0.83948,-0.20652,0.12513,0.71113,-0.15304,0.98822,1e-05
56.313,-0.83236,-0.20161,0.12589,0.71241,-0.15304,0.98822,1e-05
56.364,-0.82523,-0.19659,0.12667,0.71367,-0.15304,0.98822,1e-05
56.415,-0.81811,-0.19166,0.12743,0.71487,-0.15304,0.98822,1e-05
56.466,-0.81099,-0.18662,0.12821,0.71607,-0.15304,0.98822,1e-05
56.517,-0.80387,-0.18168,0.12898,0.7172,-0.15304,0.98822,1e-05
56.568,-0.79675,-0.17673,0.12974,0.7183,-0.15304,0.98822,1e-05
56.619,-0.78963,-0.17167,0.13053,0.71938,-0.15304,0.98822,1e-05
56.67,-0.7825,-0.1667,0.1313,0.72041,-0.15304,0.98822,1e-05
56.721,-0.77538,-0.16173,0.13207,0.7214,-0.15304,0.98822,1e-05
56.772,-0.76826,-0.15665,0.13285,0.72238,-0.15305,0.98822,1e-05
56.823,-0.76114,-0.15157,0.13364,0.72331,-0.15305,0.98822,1e-05
56.874,-0.75402,-0.14647,0.13443,0.72422,-0.15305,0.98822,1e-05
56.925,-0.7469,-0.14147,0.13521,0.72507,-0.15305,0.98822,1e-05
56.976,-0.73978,-0.13646,0.13598,0.72588,-0.15305,0.98822,1e-05
57.027,-0.73266,-0.13135,0.13677,0.72667,-0.15305,0.98822,1e-05
57.078,-0.72553,-0.12634,0.13755,0.72742,-0.15305,0.98822,1e-05
57.129,-0.71842,-0.12132,0.13833,0.72812,-0.15305,0.98822,1e-05
57.18,-0.7113,-0.11619,0.13912,0.72881,-0.15305,0.98822,1e-05
57.231,-0.70417,-0.11106,0.13992,0.72945,-0.15305,0.98822,1e-05
57.282,-0.69705,-0.10593,0.14071,0.73007,-0.15305,0.98822,1e-05
57.333,-0.68993,-0.10089,0.14149,0.73063,-0.15305,0.98822,1e-05
57.385,-0.68281,-0.09575,0.14229,0.73116,-0.15305,0.98822,1e-05
