timestamp,joint_2,half_arm_1_link.x,half_arm_1_link.y,half_arm_1_link.z,half_arm_1_link.x_hat,half_arm_1_link.y_hat,half_arm_1_link.z_hat
26.414,-0.30255,-0.12655,0.52238,0.47999,0.63302,0.77414,1e-05
26.466,-0.30125,-0.12582,0.52179,0.48082,0.63302,0.77414,1e-05
26.517,-0.29773,-0.1243,0.52054,0.48257,0.63302,0.77414,1e-05
26.568,-0.2919,-0.12192,0.5186,0.48527,0.63302,0.77414,1e-05
26.619,-0.28485,-0.11929,0.51645,0.4882,0.63302,0.77414,1e-05
26.67,-0.27773,-0.11665,0.51429,0.49111,0.63302,0.77414,1e-05
26.721,-0.27061,-0.11393,0.51206,0.49406,0.63302,0.77414,1e-05
26.772,-0.26348,-0.1112,0.50983,0.49699,0.63302,0.77414,1e-05
26.823,-0.25636,-0.10845,0.50758,0.49989,0.63302,0.77414,1e-05
26.874,-0.24924,-0.10574,0.50537,0.5027,0.63302,0.77414,1e-05
26.925,-0.24212,-0.10297,0.5031,0.50555,0.63302,0.77414,1e-05
26.975,-0.235,-0.10017,0.50081,0.50837,0.63302,0.77414,1e-05
27.027,-0.22788,-0.09742,0.49856,0.51112,0.63302,0.77414,1e-05
27.078,-0.22076,-0.09465,0.49629,0.51383,0.63302,0.77414,1e-05
27.129,-0.21364,-0.09186,0.49402,0.51653,0.63302,0.77414,1e-05
27.18,-0.20652,-0.08901,0.49168,0.51925,0.63302,0.77414,1e-05
27.231,-0.1994,-0.0862,0.48938,0.52189,0.63302,0.77414,1e-05
27.282,-0.19227,-0.08337,0.48707,0.5245,0.63302,0.77414,1e-05
27.333,-0.18515,-0.08047,0.4847,0.52715,0.63302,0.77414,1e-05
27.383,-0.17803,-0.07761,0.48236,0.52971,0.63302,0.77414,1e-05
27.435,-0.17091,-0.07469,0.47997,0.5323,0.63302,0.77414,1e-05
27.486,-0.16379,-0.07175,0.47756,0.53486,0.63302,0.77414,1e-05
27.537,-0.15667,-0.06879,0.47515,0.5374,0.63302,0.77414,1e-05
27.588,-0.14955,-0.06582,0.47272,0.5399,0.63302,0.77414,1e-05
27.638,-0.14243,-0.06284,0.47028,0.54238,0.63302,0.77414,1e-05
27.689,-0.13531,-0.0599,0.46788,0.54479,0.63302,0.77414,1e-05
27.741,-0.12818,-0.05689,0.46542,0.54722,0.63302,0.77414,1e-05
27.792,-0.12106,-0.05387,0.46294,0.54961,0.63302,0.77414,1e-05
27.843,-0.11394,-0.05089,0.46051,0.55194,0.63302,0.77414,1e-05
27.893,-0.10682,-0.04784,0.45802,0.55428,0.63302,0.77414,1e-05
27.945,-0.0997,-0.04484,0.45556,0.55655,0.63302,0.77414,1e-05
27.995,-0.09258,-0.04183,0.4531,0.55879,0.63302,0.77414,1e-05
28.047,-0.08546,-0.0388,0.45062,0.56101,0.63302,0.77414,1e-05
28.098,-0.07834,-0.0357,0.44809,0.56324,0.63302,0.77414,1e-05
28.149,-0.07122,-0.02953,0.44304,0.56757,0.63302,0.77414,1e-05
28.199,-0.06409,-0.02646,0.44053,0.56967,0.63302,0.77414,1e-05
28.251,-0.05697,-0.02331,0.43796,0.57179,0.63302,0.77414,1e-05
28.301,-0.04985,-0.02016,0.43537,0.57388,0.63302,0.77414,1e-05
28.353,-0.04273,-0.01699,0.43278,0.57594,0.63302,0.77414,1e-05
28.403,-0.03561,-0.01387,0.43023,0.57793,0.63302,0.77414,1e-05
28.454,-0.02849,-0.01068,0.42762,0.57993,0.63302,0.77413,1e-05
28.506,-0.02137,-0.00748,0.425,0.5819,0.63302,0.77413,1e-05
28.557,-0.01425,-0.00426,0.42238,0.58385,0.63302,0.77413,1e-05
28.607,-0.00712,-0.00104,0.41974,0.58576,0.63302,0.77413,1e-05
28.658,-0.0,0.00213,0.41715,0.58761,0.63302,0.77413,1e-05
28.71,0.00712,0.00537,0.41449,0.58946,0.63302,0.77413,1e-05
28.761,0.01424,0.00857,0.41189,0.59125,0.63302,0.77413,1e-05
28.812,0.02136,0.01183,0.40922,0.59304,0.63302,0.77413,1e-05
