timestamp,joint_6,spherical_wrist_2_link.x,spherical_wrist_2_link.y,spherical_wrist_2_link.z,spherical_wrist_2_link.x_hat,spherical_wrist_2_link.y_hat,spherical_wrist_2_link.z_hat
6.527,-0.35546,-0.06453,0.11119,0.1073,0.92138,0.31928,0.22163
6.579,-0.35676,-0.06456,0.11152,0.10694,0.92138,0.31928,0.22163
6.63,-0.36028,-0.0646,0.11208,0.10632,0.92138,0.31928,0.22163
6.68,-0.3659,-0.06466,0.11278,0.10555,0.92138,0.31928,0.22163
6.732,-0.37219,-0.06471,0.11348,0.10477,0.92138,0.31928,0.22163
6.783,-0.37842,-0.06476,0.11417,0.10399,0.92138,0.31928,0.22163
6.834,-0.38465,-0.06481,0.11484,0.10321,0.92138,0.31928,0.22163
6.885,-0.39088,-0.06486,0.11552,0.10242,0.92138,0.31928,0.22163
6.936,-0.39711,-0.0649,0.11618,0.10165,0.92138,0.31928,0.22163
6.987,-0.40334,-0.06494,0.11685,0.10085,0.92138,0.31928,0.22162
7.038,-0.40958,-0.06498,0.11752,0.10005,0.92138,0.31928,0.22162
7.089,-0.41581,-0.06501,0.11818,0.09924,0.92138,0.31928,0.22162
7.14,-0.42204,-0.06504,0.11882,0.09845,0.92138,0.31928,0.22162
7.191,-0.42827,-0.06507,0.11947,0.09764,0.92138,0.31928,0.22162
7.241,-0.4345,-0.0651,0.12011,0.09683,0.92138,0.31928,0.22162
7.293,-0.44073,-0.06513,0.12075,0.09601,0.92138,0.31928,0.22162
7.344,-0.44696,-0.06515,0.12138,0.0952,0.92138,0.31928,0.22162
7.394,-0.45319,-0.06517,0.122,0.09439,0.92138,0.31928,0.22161
7.445,-0.45943,-0.06519,0.12262,0.09358,0.92138,0.31928,0.22161
7.496,-0.46566,-0.0652,0.12324,0.09274,0.92139,0.31928,0.22161
7.547,-0.47189,-0.06521,0.12385,0.09192,0.92139,0.31928,0.22161
7.599,-0.47812,-0.06523,0.12447,0.09108,0.92139,0.31928,0.22161
7.65,-0.48435,-0.06523,0.12506,0.09025,0.92139,0.31928,0.22161
7.701,-0.49058,-0.06524,0.12567,0.0894,0.92139,0.31928,0.22161
7.751,-0.49681,-0.06524,0.12627,0.08855,0.92139,0.31928,0.22161
7.803,-0.50304,-0.06524,0.12687,0.08769,0.92139,0.31928,0.2216
7.854,-0.50927,-0.06524,0.12746,0.08683,0.92139,0.31928,0.2216
7.905,-0.5155,-0.06523,0.12804,0.08597,0.92139,0.31928,0.2216
7.956,-0.52173,-0.06523,0.12862,0.0851,0.92139,0.31927,0.2216
8.007,-0.52797,-0.06522,0.1292,0.08423,0.92139,0.31927,0.2216
8.058,-0.53432,-0.06521,0.12976,0.08338,0.92139,0.31927,0.2216
8.11,-0.54055,-0.06519,0.13032,0.08252,0.92139,0.31927,0.2216
8.16,-0.54678,-0.06517,0.13087,0.08166,0.92139,0.31927,0.2216
8.212,-0.55301,-0.06516,0.13142,0.08077,0.92139,0.31927,0.22159
8.263,-0.55924,-0.06513,0.13197,0.07989,0.92139,0.31927,0.22159
8.314,-0.56548,-0.06511,0.13251,0.07902,0.92139,0.31927,0.22159
8.365,-0.57171,-0.06508,0.13305,0.07813,0.92139,0.31927,0.22159
8.416,-0.57794,-0.06505,0.13358,0.07723,0.92139,0.31927,0.22159
8.467,-0.58417,-0.06502,0.1341,0.07635,0.92139,0.31927,0.22159
8.518,-0.5904,-0.06499,0.13462,0.07547,0.92139,0.31927,0.22159
8.569,-0.59663,-0.06495,0.13514,0.07457,0.92139,0.31927,0.22159
8.62,-0.60286,-0.06491,0.13565,0.07366,0.92139,0.31927,0.22158
8.67,-0.60909,-0.06487,0.13616,0.07275,0.92139,0.31927,0.22158
8.722,-0.61534,-0.06482,0.13667,0.07184,0.92139,0.31927,0.22158
8.773,-0.62156,-0.06478,0.13717,0.07092,0.92139,0.31927,0.22158
8.824,-0.62779,-0.06473,0.13765,0.07002,0.92139,0.31927,0.22158
8.875,-0.63402,-0.06468,0.13814,0.0691,0.92139,0.31927,0.22158
8.926,-0.64025,-0.06462,0.13862,0.06818,0.9214,0.31927,0.22158
8.977,-0.64648,-0.06456,0.13909,0.06727,0.9214,0.31927,0.22158
9.028,-0.65271,-0.06451,0.13957,0.06635,0.9214,0.31927,0.22157
9.079,-0.65894,-0.06444,0.14003,0.06542,0.9214,0.31927,0.22157
9.13,-0.66517,-0.06438,0.14049,0.06449,0.9214,0.31927,0.22157
9.181,-0.67056,-0.06433,0.14082,0.06381,0.9214,0.31927,0.22157
9.232,-0.67371,-0.0643,0.141,0.06345,0.9214,0.31927,0.22157
9.283,-0.67464,-0.0643,0.14103,0.06339,0.9214,0.31927,0.22157
