timestamp,joint_3,half_arm_2_link.x,half_arm_2_link.y,half_arm_2_link.z,half_arm_2_link.x_hat,half_arm_2_link.y_hat,half_arm_2_link.z_hat
63.161,0.69841,0.29981,-0.20801,0.49962,-0.03267,-0.0084,-0.99943
63.212,0.6971,0.29983,-0.20798,0.49962,-0.03267,-0.0084,-0.99943
63.263,0.69358,0.30019,-0.20749,0.4996,-0.03267,-0.0084,-0.99943
63.314,0.68776,0.30103,-0.20637,0.49956,-0.03267,-0.0084,-0.99943
63.365,0.68071,0.3023,-0.20463,0.49951,-0.03267,-0.0084,-0.99943
63.416,0.67358,0.30375,-0.20264,0.49944,-0.03267,-0.0084,-0.99943
63.467,0.66647,0.30521,-0.20059,0.49938,-0.03267,-0.0084,-0.99943
63.518,0.65934,0.30663,-0.19857,0.49932,-0.03267,-0.0084,-0.99943
63.569,0.65222,0.30807,-0.1965,0.49925,-0.03267,-0.0084,-0.99943
63.62,0.6451,0.30946,-0.19446,0.49919,-0.03267,-0.0084,-0.99943
63.671,0.63798,0.31087,-0.19236,0.49913,-0.03267,-0.0084,-0.99943
63.722,0.63086,0.31226,-0.19026,0.49906,-0.03266,-0.0084,-0.99943
63.773,0.62374,0.31363,-0.18815,0.499,-0.03266,-0.0084,-0.99943
63.824,0.61662,0.31497,-0.18607,0.49894,-0.03266,-0.0084,-0.99943
63.875,0.6095,0.31632,-0.18394,0.49888,-0.03266,-0.0084,-0.99943
63.926,0.60237,0.31765,-0.1818,0.49882,-0.03266,-0.0084,-0.99943
63.977,0.59525,0.31894,-0.17969,0.49876,-0.03266,-0.0084,-0.99943
64.028,0.58813,0.32024,-0.17754,0.4987,-0.03266,-0.0084,-0.99943
64.079,0.58101,0.32152,-0.17537,0.49864,-0.03266,-0.0084,-0.99943
64.13,0.57389,0.32279,-0.17319,0.49858,-0.03266,-0.0084,-0.99943
64.181,0.56677,0.32405,-0.17101,0.49852,-0.03266,-0.0084,-0.99943
64.232,0.55965,0.32526,-0.16885,0.49846,-0.03266,-0.0084,-0.99943
64.283,0.55253,0.32646,-0.1667,0.49841,-0.03266,-0.00839,-0.99943
64.334,0.5454,0.32764,-0.16453,0.49835,-0.03266,-0.00839,-0.99943
64.385,0.53828,0.32884,-0.16231,0.49829,-0.03266,-0.00839,-0.99943
64.436,0.53116,0.32999,-0.16012,0.49824,-0.03266,-0.00839,-0.99943
64.487,0.52405,0.33115,-0.15788,0.49818,-0.03266,-0.00839,-0.99943
64.538,0.51692,0.3334,-0.15343,0.49807,-0.03266,-0.00839,-0.99943
64.589,0.5098,0.33452,-0.15117,0.49801,-0.03266,-0.00839,-0.99943
64.64,0.50268,0.33559,-0.14894,0.49796,-0.03266,-0.00839,-0.99943
64.691,0.49556,0.33667,-0.14667,0.49791,-0.03265,-0.00839,-0.99943
64.742,0.48844,0.33772,-0.14443,0.49785,-0.03265,-0.00839,-0.99943
64.793,0.48131,0.33877,-0.14214,0.4978,-0.03265,-0.00839,-0.99943
64.844,0.47419,0.3398,-0.13984,0.49775,-0.03265,-0.00839,-0.99943
64.895,0.46707,0.3408,-0.13758,0.4977,-0.03265,-0.00839,-0.99943
64.946,0.45995,0.3418,-0.13526,0.49765,-0.03265,-0.00839,-0.99943
