timestamp,joint_3,half_arm_2_link.x,half_arm_2_link.y,half_arm_2_link.z,half_arm_2_link.x_hat,half_arm_2_link.y_hat,half_arm_2_link.z_hat
57.212,-1.0684,0.42345,-0.10473,0.37475,0.02602,-0.15251,-0.98796
57.264,-1.06709,0.42293,-0.1061,0.37495,0.02602,-0.15251,-0.98796
57.315,-1.06357,0.42202,-0.10848,0.3753,0.02602,-0.15251,-0.98796
57.366,-1.05774,0.42086,-0.11146,0.37573,0.02602,-0.15251,-0.98796
57.417,-1.0507,0.41966,-0.11449,0.37616,0.02602,-0.15251,-0.98796
57.468,-1.04358,0.41846,-0.11745,0.37659,0.02602,-0.15251,-0.98796
57.519,-1.03645,0.41721,-0.12046,0.37702,0.02602,-0.15251,-0.98796
57.57,-1.02933,0.41594,-0.12346,0.37745,0.02602,-0.15251,-0.98796
57.621,-1.02221,0.41468,-0.12639,0.37787,0.02602,-0.1525,-0.98796
57.672,-1.01509,0.4134,-0.12932,0.37829,0.02602,-0.1525,-0.98796
57.723,-1.00797,0.41206,-0.13229,0.37871,0.02602,-0.1525,-0.98796
57.773,-1.00085,0.41071,-0.13525,0.37913,0.02602,-0.1525,-0.98796
57.825,-0.99372,0.40937,-0.13815,0.37954,0.02602,-0.1525,-0.98796
57.875,-0.98661,0.40797,-0.14109,0.37996,0.02602,-0.1525,-0.98796
57.927,-0.97949,0.40658,-0.14397,0.38037,0.02602,-0.1525,-0.98796
57.978,-0.97236,0.40517,-0.14684,0.38078,0.02602,-0.1525,-0.98796
58.029,-0.96524,0.40372,-0.14976,0.38119,0.02602,-0.1525,-0.98796
58.08,-0.95812,0.40227,-0.15261,0.38159,0.02602,-0.1525,-0.98796
58.13,-0.951,0.40077,-0.1555,0.382,0.02602,-0.1525,-0.98796
58.182,-0.94388,0.39925,-0.15839,0.3824,0.02602,-0.15249,-0.98796
58.233,-0.93676,0.39774,-0.1612,0.3828,0.02602,-0.15249,-0.98796
58.284,-0.92964,0.39618,-0.16407,0.3832,0.02602,-0.15249,-0.98796
58.335,-0.92251,0.39463,-0.16686,0.38359,0.02602,-0.15249,-0.98796
58.386,-0.91539,0.39303,-0.1697,0.38399,0.02602,-0.15249,-0.98796
58.436,-0.90827,0.39144,-0.17248,0.38437,0.02602,-0.15249,-0.98796
58.487,-0.90115,0.38984,-0.17524,0.38476,0.02602,-0.15249,-0.98796
58.539,-0.89403,0.38817,-0.17805,0.38515,0.02602,-0.15249,-0.98796
58.59,-0.88691,0.38653,-0.18079,0.38553,0.02602,-0.15249,-0.98796
58.641,-0.87979,0.38483,-0.18358,0.38591,0.02602,-0.15249,-0.98796
58.692,-0.87267,0.38311,-0.18635,0.38629,0.02602,-0.15249,-0.98796
58.743,-0.86555,0.38137,-0.18911,0.38667,0.02602,-0.15249,-0.98796
58.794,-0.85842,0.37964,-0.19181,0.38705,0.02602,-0.15248,-0.98796
58.845,-0.85131,0.3779,-0.19449,0.38741,0.02602,-0.15248,-0.98796
58.896,-0.84418,0.3761,-0.19721,0.38779,0.02602,-0.15248,-0.98796
58.947,-0.83706,0.37432,-0.19987,0.38815,0.02602,-0.15248,-0.98796
58.998,-0.82994,0.37248,-0.20257,0.38852,0.02602,-0.15248,-0.98796
59.049,-0.82282,0.37066,-0.2052,0.38888,0.02602,-0.15248,-0.98796
59.1,-0.8157,0.36878,-0.20788,0.38924,0.02602,-0.15248,-0.98796
59.151,-0.80858,0.36693,-0.21049,0.38959,0.02602,-0.15248,-0.98796
59.201,-0.80146,0.36505,-0.21308,0.38994,0.02602,-0.15248,-0.98796
59.252,-0.79433,0.36316,-0.21566,0.39029,0.02602,-0.15248,-0.98796
59.303,-0.78721,0.36121,-0.21828,0.39065,0.02602,-0.15248,-0.98796
59.355,-0.78009,0.35928,-0.22084,0.39099,0.02602,-0.15248,-0.98796
59.406,-0.77297,0.35733,-0.22338,0.39133,0.02602,-0.15247,-0.98796
59.457,-0.76585,0.35532,-0.22596,0.39168,0.02602,-0.15247,-0.98796
59.507,-0.75873,0.3533,-0.22852,0.39202,0.02602,-0.15247,-0.98797
59.559,-0.75161,0.3513,-0.23102,0.39235,0.02602,-0.15247,-0.98797
59.61,-0.74449,0.34924,-0.23356,0.39269,0.02602,-0.15247,-0.98797
59.661,-0.73736,0.34716,-0.23608,0.39302,0.02602,-0.15247,-0.98797
59.712,-0.73024,0.34506,-0.23859,0.39336,0.02602,-0.15247,-0.98797
59.762,-0.72312,0.34299,-0.24104,0.39368,0.02602,-0.15247,-0.98797
59.814,-0.716,0.34086,-0.24351,0.394,0.02602,-0.15247,-0.98797
59.865,-0.70888,0.33871,-0.24598,0.39433,0.02602,-0.15247,-0.98797
59.915,-0.70176,0.3366,-0.24836,0.39464,0.02602,-0.15247,-0.98797
59.966,-0.69478,0.33447,-0.25073,0.39495,0.02602,-0.15247,-0.98797
60.018,-0.68756,0.33236,-0.25306,0.39525,0.02602,-0.15246,-0.98797
60.069,-0.68196,0.33091,-0.25463,0.39546,0.02602,-0.15246,-0.98797
60.12,-0.6786,0.33012,-0.25548,0.39557,0.02602,-0.15246,-0.98797
60.171,-0.67748,0.32998,-0.25563,0.39559,0.02602,-0.15246,-0.98797
