timestamp,joint_1,shoulder_link.x,shoulder_link.y,shoulder_link.z,shoulder_link.x_hat,shoulder_link.y_hat,shoulder_link.z_hat
46.624,0.99918,0.16808,-0.0055,0.96716,-0.0,1e-05,-1.0
46.676,0.99788,0.1681,-0.00514,0.96716,-0.0,1e-05,-1.0
46.727,0.99436,0.16812,-0.00441,0.96717,-0.0,1e-05,-1.0
46.778,0.98853,0.16814,-0.00332,0.96717,-0.0,1e-05,-1.0
46.829,0.98148,0.16816,-0.00215,0.96717,-0.0,1e-05,-1.0
46.88,0.97436,0.16817,-0.00095,0.96717,-0.0,1e-05,-1.0
46.931,0.96724,0.16817,0.00024,0.96717,-0.0,1e-05,-1.0
46.982,0.96012,0.16817,0.00142,0.96717,-0.0,1e-05,-1.0
47.033,0.953,0.16815,0.00262,0.96717,-0.0,1e-05,-1.0
47.084,0.94587,0.16813,0.00379,0.96717,-0.0,1e-05,-1.0
47.135,0.93876,0.1681,0.00498,0.96717,-0.0,1e-05,-1.0
47.186,0.93164,0.16806,0.00616,0.96717,-0.0,1e-05,-1.0
47.237,0.92451,0.16801,0.00733,0.96717,-0.0,1e-05,-1.0
47.288,0.91739,0.16796,0.00853,0.96717,-0.0,1e-05,-1.0
47.339,0.91027,0.16789,0.0097,0.96717,-0.0,1e-05,-1.0
47.39,0.90315,0.16782,0.01089,0.96717,-0.0,1e-05,-1.0
47.441,0.89603,0.16774,0.01206,0.96717,-0.0,1e-05,-1.0
47.492,0.88891,0.16765,0.01326,0.96717,-0.0,1e-05,-1.0
47.543,0.88179,0.16755,0.01445,0.96717,-0.0,1e-05,-1.0
47.594,0.87466,0.16745,0.01564,0.96717,-0.0,1e-05,-1.0
47.645,0.86754,0.16733,0.01683,0.96717,-0.0,1e-05,-1.0
47.696,0.86042,0.16721,0.01802,0.96717,-0.0,1e-05,-1.0
47.747,0.8533,0.16708,0.01919,0.96717,-0.0,1e-05,-1.0
47.798,0.84618,0.16694,0.02038,0.96717,-0.0,1e-05,-1.0
47.849,0.83906,0.16679,0.02154,0.96717,-0.0,1e-05,-1.0
47.9,0.83194,0.16663,0.02273,0.96717,-0.0,1e-05,-1.0
47.951,0.82482,0.16647,0.02389,0.96717,-0.0,1e-05,-1.0
48.002,0.8177,0.16629,0.02507,0.96717,-0.0,1e-05,-1.0
48.053,0.81057,0.16611,0.02626,0.96717,-0.0,1e-05,-1.0
48.104,0.80345,0.16592,0.02742,0.96717,-0.0,1e-05,-1.0
48.155,0.79633,0.16573,0.0286,0.96717,-0.0,1e-05,-1.0
48.206,0.78921,0.16552,0.02977,0.96717,-0.0,1e-05,-1.0
48.257,0.78209,0.16531,0.03093,0.96717,-0.0,1e-05,-1.0
48.308,0.77497,0.16509,0.03208,0.96717,-0.0,1e-05,-1.0
48.359,0.76785,0.16485,0.03326,0.96717,-0.0,1e-05,-1.0
48.41,0.76073,0.16461,0.03443,0.96717,-0.0,1e-05,-1.0
48.461,0.75361,0.16437,0.03558,0.96718,-0.0,1e-05,-1.0
48.512,0.74648,0.16411,0.03674,0.96718,-0.0,1e-05,-1.0
48.563,0.73936,0.16385,0.03789,0.96718,-0.0,1e-05,-1.0
48.614,0.73224,0.16358,0.03905,0.96718,-0.0,1e-05,-1.0
48.665,0.72512,0.16329,0.04022,0.96718,-0.0,1e-05,-1.0
48.716,0.718,0.16301,0.04136,0.96718,-0.0,1e-05,-1.0
48.767,0.71088,0.16271,0.04251,0.96718,-0.0,1e-05,-1.0
48.818,0.70376,0.16241,0.04365,0.96718,-0.0,1e-05,-1.0
48.869,0.69666,0.1621,0.0448,0.96718,-0.0,1e-05,-1.0
48.92,0.69069,0.16184,0.04574,0.96718,-0.0,1e-05,-1.0
48.971,0.68699,0.1616,0.04656,0.96718,-0.0,1e-05,-1.0
49.022,0.68551,0.1616,0.04656,0.96718,-0.0,1e-05,-1.0
49.073,0.68549,0.1616,0.04656,0.96718,-0.0,1e-05,-1.0
